question,output
In what year did Tito Capobianco become Pittsburgh Opera's General Director?,1983
What pioneering technology did Pittsburgh Opera implement under Capobianco's leadership?,"Pittsburgh Opera implemented the resident artists program under the leadership of Capo-bianco. 
This is inferred from the statement that under his leadership, they established the program, which is described as ""dramatically increasing the audience's interest in opera."""
What is the name of Pittsburgh Opera's signature fundraising gala?,"The name is ""Benedum Centermar."""
What was the theme of Pittsburgh Opera's 2024-25 season workshops for educators?,"There is no direct answer to the question provided. However, it can be inferred that the topic of the workshops is related to opera and its history, as well as how to engage students in learning about it. It can also be assumed that there will be interactive activities and resources provided for the educators to use in their classrooms."
What special service is offered at Tuesday performances for patrons with visual impairments?,"Pittsburgh Opera provides an audio description service on Tuesdays. This service allows patrons who are visually impaired to listen to a description of what is happening on stage while they watch the performance. The description is provided through assistive listening devices, which can be purchased from the box office."
What is the function of Pittsburgh Opera's Opera Academy?,The function is to provide education programs and training for aspiring opera artists and to engage the community through various events and performances.
What is the purpose of the Monteverdi Society?,"1. To recognize and honor individuals for their deep commitment and support of Pittsburgh opera. 
2. The purpose is to ensure the continued existence and growth of operatic art for generations to come, as well as to promote unity and understanding within the community through education and outreach programs. It also serves as a way for individuals to give back and make a lasting impact on their community and the world. Additionally, it helps reduce tax burdens and allows for more assets to be distributed according to an individual's wishes after their passing. This aligns with Pittsburgh's values of supporting the arts and promoting social and economic growth. Overall, being a part of this society can have a positive impact not only on one's personal legacy, but also on society as"
Who is Madama Butterfly's husband in the opera?,"The husband of Madam Butterfly is not mentioned in this context and cannot be determined from the given information. However, it can be inferred that the husband's name is likely to be a Japanese name, as the story takes place in Japan."
What area of the Bitz Opera Factory serves as the childcare location during performances?,"The childcare area is located inside the main building of Biztok Opera factory, specifically in a room called the ""multipurposes room"" which can be found on-site. This room is exclusively used for the purpose of providing childcare services to children attending the performances."
What is the name of Pittsburgh Opera's 2025 fashion event?,"The event is called ""Threads Of Destiny""."
What is included with a Pittsburgh Opera Opus Pass?,"Yes, a subscriber can purchase an additional $ 5 monthly subscription add-on to their Pittsburgh opera subscription, which will allow them to attend multiple performances of their favorite opera at a discounted rate. However, they will not be guaranteed their original seats if they choose to modify their subscription. Additionally, the subscriber must maintain their current subscription for at least one year in order to be eligible for this offer."
How many operas are included in Pittsburgh Opera's standard full subscription package?,"There is not enough information to answer this question. We do not know how many performances are in each opera or how often they are repeated. Therefore, it is impossible to determine the total number of performances in one year with the given information."
When was Pittsburgh Opera's first production?,1939
What was Pittsburgh Opera's first production?,"The answer to this question cannot be directly inferred from the paragraph. However, it can be logically deduced that the founding members of Pittsburgh opera were five women belonging to a musical club, and the first opera production was in 1940."
Who provided the Audio Commentary service for Pittsburgh Opera since 2003?,The Volunteer Team.
What childcare provider does Pittsburgh Opera partner with for its childcare service?,"Pittsburgh Opera partners with Flexible, a Pittsburgh-based childcare company, for their childcare program at their performances."
How much does it cost to add the Opus Pass Subscription Add On to a traditional subscription package?,opus pass add on to your current subscription you will not be able to upgrade your subscription to the 2026-27 season package. You will need to start a new subscription for 2027-28 season in order to have access to all the shows in that season with the add-on. What is the difference between a regular subscription and a subscription with a pass? A subscription without the pass allows you to attend one performance per season at any of our venues. With the subscription pass you can attend as many performances as you would like in a season (up to three times per venue) at a discounted rate. How do I know which subscription is right for me? We recommend that you visit our website to learn more about the different subscription packages and
What is Pittsburgh Opera's 87th season opening production?,"From the paragraph, we can infer that the production opening is a new opera. This is because the text mentions that it is the ""87th"" season, implying that there have been previous seasons with different productions. Additionally, the phrase ""opening production"" suggests that this will be the first performance of the season. The text also does not mention any specific opera, so we cannot determine the exact title or composer. However, since the opera is being performed at the Benedum Center for the Performing Arts in Pittsburgh, Pennsylvania, it can be assumed that a well-known and established opera company is producing it."
What is Pittsburgh Opera's mission?,"Benedum CenterMar 22 - 30
<|endofgeneration|>"
What type of LEED certification did Pittsburgh Opera obtain in June 2011?,"highest possible
rating on
Charity
Navigator's
third
party
accreditation
validates
our
organization's operational
excellence."
What special features are available on Pittsburgh Opera's mobile app?,"Users can access exclusive audio and video content during performances through the app. 
<|endofgeneration|>"
Which company powers Pittsburgh Opera's mobile app?,The company that powers Pittsburggh Operamobile app according to the given context is InstantEncore.
What is OPERA America?,"OPERA AMERICA is an organization that provides education programs related to opera in Pittsburgh, Pennsylvania. It is recognized for its programs and has been nominated for an international opera award."
What is Pittsburgh Opera's annual winter theme for restaurant week?,"The annual Winter theme is ""New Dish For the new year""."
How many days in advance can an Opus Pass holder redeem their pass for a specific performance?,"You can redeem your ticket for any performance that is at least 5 days away from the current date. This is because the ticket redemption window opens 5 business days (Monday to Friday) before a performance, and it closes 3 business hours (9:00 AM to 12:59 PM) prior the start of the show. Therefore, the latest possible date for redemption is the day before the first performance of that week."
What zones at the Benedum Center can Opus Pass holders be seated in?,"Zone B, C, D, E, F"
What is Pittsburgh Opera's policy for latecomers?,"The policy is that management does not accept any responsibility and will not issue refunds or exchange tickets to those who are late. They will try their best to make accommodations, but it is the customer's responsibility to allow enough time for travel and unexpected delays. Additionally, they cannot provide crucial show information or contact customers with important updates. It is advised to purchase tickets from the official website to avoid these risks."
What is the name of Pittsburgh Opera's 80th Anniversary Campaign?,"According to the paragraph, the campaign is called ""Pittsburgh Opera: 80 Years, 80 Shows."""
How many opera companies in the United States are older than Pittsburgh Opera?,"There is not enough information to answer this question. The passage does not mention the age of any other opera company. However, it does mention that the company has been in existence for over eighty years. This suggests that there may be other companies that have been around for a similar amount of time, but it is impossible to know for sure without additional information."
What ticket insurance does Pittsburgh Opera offer for single ticket purchases?,"Pittsburgh Opera offers Ticket Insurance for Single Ticket Purchases on their official website, culturaltrust.com. This insurance covers the risks associated with buying tickets from resellers, including the possibility of paying more for the tickets, receiving fake tickets or not having the ability to replace them in case of loss or theft. It also ensures that the opera company cannot provide refunds in such situations. However, it is important to note that this insurance is only applicable to single-ticket purchases and is currently unavailable for subscription or bulk sales. To avail of the insurance, customers are recommended to add it to their order and pay an additional fee of 7%, which can be refunded if the customer or any member of their party cannot attend the performance for qualifying reasons such"
What is the cost of Booking Protect ticket insurance?,"Average price: $77 Available tickets: 604 Jun 06 2025 5:45 PM Static X-Static X, prices from ~$50 Average Price: ~~$60 AvailableTickets: 479 Jun 07 2025 4:15 PM The Black Keys, Static x-static x, $65 AveragePrice:~ $70 AvailableTicket: 544 Jun 08 2025 3:10 PM Black Stone Cherry, Averageprice:$65 Availabletickets: 706 Jun 09 2025 2:55 PM Red Hot Chili Peppers, averageprice~:$$$ Available Tix: 806"
Which opera will be performed at Calvary Episcopal Church in 2026?,"There is no specific information given about the opera that will perform at the Benedum Center from 2022-2026. However, it is mentioned that there are a variety of performances, including classics and new works, so it can be inferred that a new opera may be added to the lineup in any of those years. It is also stated that tickets are available for purchase, but it does not specify which opera is being sold. Therefore, the correct answer is that it cannot be determined from the given information."
What form of payment does Pittsburgh Opera accept for tickets?,"According to the passage, the official website for purchasing tickets is ""opera.culturalliterature.com"", which is operated by the Cultural District and the Trust Arts."
How many weeks in advance must in-kind donation requests be submitted to Pittsburgh Opera?,"The answer to the question is not directly provided within the text. However, it can be inferred that the company must submit their request at least 3 weeks before the event. This is because there are three steps involved in making a donation, and the first step is to make the donation itself, which can take some time to process. Additionally, the second step of searching for the corporate matching program can also take time, as it may require contacting the human resources department. Therefore, in order to have enough time for all the necessary steps to be completed, a 3-week lead time is recommended."
What is the cost of a Pittsburgh Opera gift card?,$100
What is the price range for Opera Trunks?,"The paragraph does not provide a clear answer to this question. However, it does mention that there is a low-fee package for bringing opera materials to students, so it can be inferred that the cost of the package is less than $1000. Additionally, the paragraph mentions that tickets are available for purchase, but the prices are not specified. Based on this information, a possible answer could be around $100-$200 per ticket, which would bring the total cost to $300-$600 for a group of 300 students. This is just a rough estimate and may vary depending on individual ticket prices and group size."
What educational program does Pittsburgh Opera offer for teachers of all grade levels?,Pittsburgh Opera offers an Education Program for Teachers of All Grade Levels.
What are the Opera Trunk themes mentioned in the document?,"The opera trunk themes are:
1. Introduction to opera
2. Vocal style
3. Musical styles
4. Plot synopsis
5. Pre-opera talk
6. Meet the artists
7. Study guide"
How does Pittsburgh Opera's rideshare program work?,"The answer to this question is that the Uber ridesharing program works by allowing patrons to purchase tickets to a performance and then adding a voucher for Uber to be redeemed for a discounted ride to and from their performance location. This program is only available to patrons who have already purchased a ticket and are planning to attend the specific performance for which they have purchased the ticket. Additionally, patrons must be registered with Uber and have a matching email/phone number between their cultural district account and their Uber profile in order to use the program. Once the patron has purchased their ticket, they can select the option to add the rideshares voucher and provide the necessary information to complete the transaction. Finally, it is important that patrons check their email or call Uber"
What social media platforms does Pittsburgh Opera use?,"Pittsburgh Opera uses Facebook, Twitter, Instagram, LinkedIn, YouTube, Snapchat, TikTok, Pinterest, Google+, and LinkedIn."
Where is the Fort Pitt Museum located?,"1. Pittsburgh
2. Fort
3. Point
4. State
5. Park
6. Museum"
What is Meadowcroft Rockshelter?,"lands Indian village. Visit a log cabins and trading posts to get a sense of what life was like for early European settlers. Or, take a stroll through the village and imagine what it would have been like to live in a small, close-knit community over a century ago. For a truly immersive experience, plan to stay the night in one of the historic buildings, such as the church or the one room school house. Don't forget to bring your camera – there are plenty of opportunities to capture the beauty and history of these unique sites. Whether you're a history buff or simply looking for an educational and entertaining day trip, a visit to Meadowscroft is sure to be a memorable experience. So pack your bags, grab your loved ones,"
What opera is being performed in October 2025?,"There is no direct answer to this question as it is not mentioned in any of the given information. However, we can use our knowledge of opera seasons and events to make a logical assumption. Since the paragraph mentions that the Pittsburgh opera season is starting in September and ending in May, it can be inferred that there will not be any opera performances during the months of October, November, December, January, February, and March. Therefore, the most logical answer would be that no opera performance is scheduled for October in 2025."
What is the plot of La Bohème?,"The plot is about a group of friends living in a small apartment in Paris who are trying to survive the harsh winter by using the pages of a recently written play as fuel for their fire. However, their celebration is interrupted when their landlord arrives and they are forced to leave. Later, one of them goes to check on their neighbor who had a candle go out, but they both end up losing their candles."
Which opera is based on Shakespeare's The Merry Wives of Windsor?,"order to pay the bill, he will have to woo the three women who are staying there: Alice, Meg, and Mrs. Ford. Alice is the daughter of a wealthy landowner, while Meg is a widow with a fortune of her own. Both women are married to wealthy men, but they are not happy in their marriages and are looking for a way to escape their unhappy lives. The two men agree to help him in his quest. They devise a scheme to send each woman a love letter that is identical to the others. When the women receive the letters and realize that they have all been sent by the same man, the plan is set in motion. Each woman decides to play along with the scheme, hoping to get a taste of Fal"
What is the timeframe of Fellow Travelers?,"Solution:
The timeframe for Fellow Travellers is from 0 hours, 43 minutes, and 0 seconds on December 12, 2021, to 1 hour, 16 minutes and 30 seconds at the end of the same day. This can be deduced from the timestamps provided, which show the start and end times of each episode."
What is the oldest site of human habitation in North America mentioned in the document?,Meadowcroft Rock Shelter
What is the Cheap Seats program?,"1. What are the benefits of purchasing a ticket for a Pirates game through the Ticketmaster app? - You can purchase tickets directly from the app and have them delivered to your home or office, saving you time and effort. Additionally, you may be able to find better deals and discounts compared to purchasing from a third-party website or at a brick-and-mortar ticket office. However, it is important to note that not all tickets are available for purchase through this method, so it may not be the best option for all game dates and times. It is always recommended to check the availability and pricing of tickets before making a purchase, regardless of the method used. This is an example of deductive reasoning, as we are using"
What is the Student Rush program at Pittsburgh Opera?,"The answer to this question is not explicitly stated, but it can be inferred that the ""Student Rush"" program is an educational program for students. It is likely that this program offers discounted or free tickets to students in order to encourage them to attend opera performances. This program may also provide educational materials or resources for teachers to use in their classrooms."
Which opera company did Pittsburgh Opera partner with to co-produce the new Madama Butterfly?,Pittsburgh Opera
Who is the conductor for most of Pittsburgh Opera's 2024-25 productions?,"The conductor who is responsible for the majority of the 2024–25 production's performances in Pittsburgh, Pennsylvania, United States, is Anthony Walker. This information can be deduced from the paragraph where it is stated that Walker will be conducting the company's production of Puccini's La bohème, which is set to premiere on January 10, 2025. The paragraph also mentions that he is also the stage director for this production, further solidifying his role as the primary conductor."
What accessibility features does Pittsburgh Opera provide for deaf patrons?,"The accessibility feature provided by Pittsburgh opera is the ""Audio Description"" service, which is available for both deaf and visually impaired patrons. This service allows patrons to listen to a description of what is happening on stage while they are watching a performance. Additionally, the opera also offers ""Assistive listening devices"" which allow patrons who are deaf or hard of hearing to hear a supertitle that is read out loud along with the action on screen. These devices can also be used to describe the costumes, set and characters. The opera has a team of volunteers who provide this service and are available to assist patrons in picking up the devices. They also provide a ""Pre-Show"" and ""Play-By-Play"" commentary to enhance the viewing experience."
Who is Christopher Hahn?,Terrance Hayes
What is Opera Up Close?,"The paragraph is about a program called ""Opera Academy"" that is designed for educators to learn about opera and how to incorporate it into their lessons. It also mentions that the program includes a subscription to opera performances and workshops to help teachers learn more about the art form. The program is open to all teachers, regardless of their grade level or subject area."
What time does Pittsburgh Opera's box office open on performance days?,"The exact opening time is not provided, but it can be inferred from the paragraph that it opens at the start of each performance day. Therefore, it would open when the first performance of the day begins. However, without knowing the specific performance schedule, an exact time cannot be determined."
"What is the ""Pittsburgh Opera Preview Show""?","""The Pittsburgher Opera preview show is a weekly radio program that provides information about upcoming opera performances, interviews with artists, behind the scenes stories and more. It airs on Tuesdays and can also be listened to online or through the radio station. Additionally, it offers audio description for visually impaired individuals during certain performances."""
What does the Cultural District fee amount to per ticket?,accepted  as  payment  therefor  a statement  indicating  that the  amount  paid  includes  an  additional  5%  surcharge  consistent  with  this  chapter  which  may  be  collected  by  any  local  authority  within  its  jurisdiction. b. DETAILING  TICKETS  Issued by a  producer  who  does  not  issue  tickets  but  instead  distributes  them  through  other  persons  are  also  required to  contain  such  statements. c. PROVISION  OF  RECEIPTS  A producer
What non-subscription discount option does Pittsburgh Opera offer to university students?,"Pittsburgh Opera offers a discounted subscription option called the ""Opera Pass"" that allows students to attend unlimited live performances for a single monthly fee. Additionally, they offer a free workshop for educators to learn more about opera and how to incorporate it into their curriculum."
What exhibition features Kara Walker's work at The Frick Pittsburgh?,"""Kara Walker"""
What dates is the Kara Walker exhibition on display at The Frick Art Museum?,"The dates of the exhibition are Mar 14 and Apr 24, with the latter being a Thursday and the former a Wednesday."
"What technique does Kara Walker use in her ""Harper's Pictorial History of the Civil War (Annotated)"" exhibition?","Kara Walker uses a technique called ""cut-paper silhouettes"" to create her artwork. This technique involves cutting out shapes from paper and arranging them in a way that tells a story or conveys a message. In her exhibition, she uses this technique to depict scenes from the civil war and to explore themes of race, gender and power. She also incorporates elements of humor and satire into her work, which adds another layer of meaning to her pieces. Overall, her technique is a powerful and effective way to communicate complex ideas and emotions through art."
How many large-scale prints are featured in the Kara Walker exhibition?,"The paragraph does not provide information about the number of prints. Therefore, we cannot determine the exact number. However, it does mention that there are ""selected works,"" which implies that not all works are included. Additionally, the paragraph states that the works were created by ""Kara Walker,"" so it can be inferred that she is the artist who created the prints, but it doesn't specify how many prints she created in total."
What is the source material that Kara Walker's exhibition revisits?,Kara Walker’s exhibition Revisits the Source Material
What special feature does the Kara Walker exhibition include regarding community involvement?,"The exhibition includes a special focus on community engagement and involvement through programs such as the community enrichment team, the roving art cart, partnerships with schools, annual events like alphabet trail & tales and trackn'treat, as well as initiatives like the rec2tech program."
How much does general admission to the Kara Walker exhibition cost?,"The price of general Admission to Kara's exhibition is $130. 
This answer can be deduced through a process of elimination. We know that the average ticket price is around $160, but we also know from the text that some tickets are priced as low as $50 and some as high as over $400. Given the number of tickets left, we can deduce that there must be a mix of high and low priced tickets, with the majority being around the $100-$200 range. Therefore, the most likely average price would be somewhere in this range, which is closer to $150 than $200. However, since we know there are still tickets available at prices of $20, $30, and $40, it"
Is there a discounted admission rate available for the Kara Walker exhibition?,"No, there is no information given to suggest that there would be a discount on admission to the exhibition. The only information available is the regular price of admission and the number of tickets that are still available."
What is the name of the tour that immerses visitors in the year 1892 at Clayton?,"The new tour is called the ""1892 Immersion Tour""."
"What award did the ""Gilded, Not Golden"" tour at Clayton win in 2024?","There is no specific answer to this question as it is not mentioned in context and cannot be deduced from the given information. However, it can be inferred that the award is given to individuals who have made significant contributions in their respective fields and have brought honor and recognition to their alma mater, the University of Pittsburgh. These contributions can range from creative efforts and accomplishments to long-term service and volunteer work, with a focus on making a positive impact on their community and organization. It is also important to note that financial contributions and volunteering for other organizations are not considered in this particular award."
"What organization awarded the recognition to Clayton's ""Gilded, Not Golden"" tour?","The organization that awarded Clayton’s tour “Gilled, not Golden” a recognition is not explicitly mentioned in this paragraph. However, it can be inferred that the award was given by an organization related to history or education, as the tour was recognized for its contribution to understanding the history and culture of Pittsburgh and its people. It is also likely that this organization is affiliated with a university, given that Clayton is a graduate of Carnegie Mellon University. Therefore, one possible answer could be the Carnegie Museum of Natural History (CMNH), as it is an institution dedicated to preserving and promoting the natural and cultural heritage of Western Pennsylvania, where Pittsburgh is located."
How long does the Clayton tour typically last?,"The Clayton Tour typically lasts for an unspecified amount of time. However, it is mentioned that the group tour is not available for the current season, so it can be inferred that it may not be available at all times."
What ages is the Clayton tour most appropriate for?,"All ages. The paragraph does not specify a minimum or maximum age for the tour, but it does mention that the museum welcomes visitors of all ages and offers a variety of programs and activities for different age groups. Therefore, it can be inferred that there is no age restriction for this tour."
Where is the starting point for visitors to The Frick Pittsburgh?,"Visitors can start their journey at the main entrance of the museum, which is located in Pittsburgh, Pennsylvania."
What are the open hours for the grounds at The Frick Pittsburgh?,"ibility Information Parking Information The Pittsburgh Pirates are a Major League Baseball (MLB) team based in Pittsburgh. They play their home games at Three Rivers Stadium, located at 1515 Forbes Avenue. The team was founded in 1887 as the Pittsburgh Alleghenys and joined the National League (NL) in 1890. In 1903, they moved to Forbes Field, where they played until 1971, when the team moved across the Monongahela River to the newly built PNC Field. Since then, Pittsburgh has been the home of one of baseball's most storied franchises, winning nine World Series championships, more than any other team in MLB history. Over the course of their history, Pirates players have included Hall of Famers Honus Wagner, Roberto Clement"
Which three museums are part of The Frick Pittsburgh complex?,"1. The Art Institute of Pittsburgh
2. Heinz History Center
3. Carnegie Museum of Art"
What is housed in the Car and Carriage Museum at The Frick?,"The museum houses a variety of cars, including the Ford Model T and the Packard Eight, as well as a carriage collection from the late 1800s and early 1900s. Additionally, there are exhibits showcasing the history of transportation in Pittsburgh and how it has evolved over time."
"Who is performing at The Frick on March 29, 2025?","Concert - The Final Farewell Tour - Fare Thee Well, My Friends - Live At The Fillmore - 25th Anniversary Tour Updating: 0"
What inspired KEA's performance at The Frick?,"KEA was inspired by her success and positive feedback from her performances, as well as her passion for connecting with people through her music and community involvement. Additionally, her training as a drummer and experience in various bands and productions may have also influenced her musical style and performance."
What does KEA's ticket price include?,"The price of a ticket includes the cost of the ticket itself, as well as any additional fees such as taxes or service charges. However, it does not include any discounts or promotional offers that may be available. The average price is calculated by dividing the total revenue from ticket sales by the number of tickets sold."
Who are the musicians that accompany KEA during her performance?,The musicians who accompany Kai during his performance are Kai himself (drums) and Gary (percussion).
What are KEA's musical influences?,"KEA is influenced by African American music and culture, as well as her personal experiences and upbringing. She draws inspiration from her father's passion for singing and her mother's talent for playing the violin, which has shaped her own musical journey. Additionally, she has studied at prestigious music schools and has performed in various musical productions, exposing her to different genres and styles of music. Furthermore, Kai's exposure to diverse cultural experiences, such as touring with different bands and performing in different venues, has broadened her musical horizons and contributed to her unique sound and style. Overall, it can be inferred that her diverse background and experiences have played a significant role in shaping her artistic influences."
What was KEA's debut single called?,"The answer to this question cannot be directly found within the paragraph. However, it can be inferred that the first single released by Kai Ellington was called ""I Love You."" This is because it is mentioned that she recorded and released the song independently in July 2017 and that it gained support from various platforms, including the British Broadcasting Corporation (BBC) and Radio Volna. The paragraph also mentions that her debut album is set to be released in 2020, indicating that this was her first release."
"What was unique about the video for ""iLove You""?","The unique aspect of ""I Love You's"" video is that it was shot entirely in Pittsburgh, Pennsylvania, with the city serving as the backdrop. This was a deliberate choice by K.E.A., who wanted to showcase her hometown and its landmarks, such as Carnegie Library, Music hall, AirBnB historic day house, as well as her favorite local record shop, Dorseys Records. Additionally, her two children, AuHneyyah (six years old at the time of filming) playing one year older than the other, added an intimate and family-oriented touch to both the song and video."
What was KEA's second single called?,"The answer to this question cannot be directly found within the paragraph. However, we can make some educated guesses. The paragraph mentions that the song was released in 2017 and that it was written for her daughter. Therefore, it is reasonable to assume that her first single would have been released before 2017. We can also infer that since the single was a success and she was booked for performances, she must have released another single after her debut. Based on this information, a possible answer could be ""I Love You."""
Which legendary artist's song did KEA cover?,"""I Love You."""
"What was different about KEA's version of ""Being with You"" compared to the original?","The main difference between the two versions is the tone and interpretation. The original version by William Robinson is more upbeat and romantic, focusing on a desperate man trying to hold on to his lover. On the other hand, Kea's interpretation is darker and more psychological, delving into how being with someone can have a negative impact on one's well-being."
Which percussion player performs with KEA and has toured with notable artists?,Kai
Which bands or artists has Kai the percussionist performed with?,"Kai the Percussionist has worked with a variety of bands and artists, including: 
1. BoneThugsNharmony
2. MikeSheer
3. CraigKing
4. EricJohnson (Jazz)
5. TonyCampbell"
What notable venue did Kai perform at with Snoop Doggy Dogg?,Kai performed at Madison Square Garden.
What are the hours for the guided Car and Carriage Museum tours?,"The guided tours are held on weekdays from Monday to Friday and on Saturdays and Sundays. However, the specific hours are not mentioned in this context and can only be determined by contacting the museum directly or checking their website for updated information. It is also important to note that the opening hours may vary depending on holidays or special events. Therefore, it is recommended to check the official website or contact the museums directly for accurate and up-to-date information on their operating hours."
On which days are the Car and Carriage Museum tours offered?,The guided tours are offered at both 1:00 pm and at 3: 00 pm on Saturday.
How much does admission to The Frick Art Museum's permanent collection cost?,"The admission cost to join the Permanent Collection at TheFrickArtMuseum is not mentioned or inferred from the given context or any other knowledge. Therefore, it is impossible to determine the exact cost. However, we can infer that the cost is likely to be significant, given the mention of membership benefits that include tax deductions and access to other museums. The cost may also vary depending on factors such as the number of people in a group and whether the group is touring the museum or visiting other attractions. It is recommended to contact the Museum directly for more information on admission costs."
What historical house can be toured at The Frick Pittsburgh?,Kara Walker's House
Who founded The Frick Pittsburgh?,"There is no direct answer to this question as it is not explicitly stated who founded the museum. However, we can infer that it was founded by an individual or group of individuals who had a passion for art and history, as well as a desire to share it with the public. This can be deduced from the fact that the founder(s) chose to establish a non-profit organization dedicated to preserving and showcasing art from various time periods and cultures. Additionally, the mention of supporters leaving donations in wills or trusts suggests a level of commitment and dedication from these individuals."
"What event occurs on April 16, 2025 at The Frick Art Museum?","There is no specific event mentioned for the year 2025. However, we can infer that there will be another exhibition in 2025, as there have been multiple exhibitions in previous years. We can also assume that the exhibition will continue to focus on costumes, fashion, and the impact of art on society, similar to previous exhibitions."
"What is the topic of Dr. Edda Fields-Black's examination on April 24, 2025?","The topic is not explicitly stated, but it can be inferred that the examination is about the people of Pittsburgh in various categories such as visual art, business, politics, labor, music, food and drink, activism, literature, health, and performing arts."
"What is happening on May 1, 2025 regarding the Kara Walker exhibition?",Kara Walker's exhibition is going to be held at the U.P.M.C. events center.
What dining option is available at The Frick Pittsburgh?,"Outdoor dining, reservations recommended, local beer featured."
What type of dining experience does The Café at the Frick offer?,"The café offers a unique and special experience for its guests, with a focus on cocktails, wine, and specialty dishes. It also offers the option for carry-out, making it convenient for guests to enjoy their food and drinks on-the-go. Additionally, guests have the opportunity to customize their experience by choosing from a variety of options and creating a personalized menu for their special occasion."
What greenhouse feature does The Frick Pittsburgh have?,"The greenhouse has a unique feature that allows it to be used as a space for displaying and transforming artwork, as well as providing a natural environment for plants to grow."
How large is The Frick Pittsburgh site?,"The exact size of the site is not provided. However, it is mentioned that the property is located at the corner of Fifth Avenue and Grant Street, which suggests that it might be a large area. Additionally, the mention of ""Explore"" and ""Learn"" implies that there is a significant amount of space available for visitors to explore and learn about the museum's collections and exhibitions. Therefore, we can make a reasonable assumption that ""the site"" refers to the entire property, including the buildings and outdoor spaces, and is likely to be quite large."
What can be seen in the Chinese porcelain collection at The Frick?,"The collection includes rare and exquisite pieces from various time periods and cultures, including Italian, French, Dutch, English, Spanish, German, Chinese, Japanese, Korean, Indian, Egyptian, Greek, Roman, Mayan, Aztec, Inca, Mughal, Persian, Ottoman, Venetian, Renaissance, Rococo, Neoclassical, Romantic, Impressionist, Post-Impressionism, Modern, Abstract, Pop Art, Minimal, Conceptual, Performance, Video, Installation, Photography, Sculpture, Prints, Drawings, Textiles, Furniture, Decorative Arts, Antiques, Collectibles, Toys, Games, Musical Instruments, Tools, Weapons, Jewelry, Clothing, Shoes,"
What is the name of the outdoor sculpture by Vanessa German at The Frick?,"""Vanessa German"""
"What is the theme of the ""Reckoning: Place and Imagination"" installation?","There is no direct answer to this question as it is not mentioned in context or any other knowledge base. However, we can infer that the installation aims to create an immersive and contemplative experience for visitors through the use of video projections and natural imagery. This aligns with Gillespie's love for teaching and her desire to engage visitors in a meaningful way, as well as the role of conservators in creating and preserving art."
Who is the first curator-in-charge of The Frick Art Museum mentioned in the text?,"There is no mention of a specific person who was first the curator in charge, so it is not possible to determine who that person is based solely on this information. However, it can be inferred that there were multiple individuals who held this position at different points in time."
What painting by Arcangelo Cola da Camerino is mentioned in the text?,"The painting mentioned is ""The Madonna with Child and the Cross"", created around the year 1422. It is an oil painting on a wooden panel and is currently on display at the Fricke Art and Historical Museum in Pittsburgh, Pennsylvania. This painting is part of a retrospective exhibition featuring the works of artist Léonard Félix-Lévêque, who was born in France and later moved to the United States."
What special installation showcases Henry Clay Frick's collection of Chinese porcelains?,"The installation that showcases the Chinese Porcelain collection is the one that is part of the special exhibition that runs from May 1, 2020 to May 31, 2021."
What exhibition partnered with Carnegie Mellon University Libraries?,"The exhibition is called ""Carnegie Nexus."""
What is the theme of the Pittsburgh Builds Bridges initiative?,"The theme is ""Preserving and Expanding the Resources of Art and Science as Agents of Personal Growth and Social Advancement."""
What is featured in the Duquesne SoundWalk at the Frick?,"There is no direct answer provided within the paragraph. However, it can be inferred that there are various events and activities happening at different times throughout the year, such as concerts, lectures, film screenings, art exhibitions, etc. Additionally, there is mention of a soundwalk and a multimedia installation, as well as the opportunity to rent out the space for events. It is also mentioned that the event rentals are fully booked for the upcoming season, but inquiries can still be made for future seasons."
What previous exhibition focused on Shakespeare's First Folio?,"The exhibition that featured Shakespeare’s first folio was ""From Stage To Page"" which took place in April-March of 2024 and was a collaboration between the University of Pittsburgh Libraries and the Carnegie Museum of Art."
"What dates was the ""Pittsburgh's Hill District during the Great Migration"" exhibition on display?","The dates of the exhibition were from 3rd to 12th of December, 25th."
What theme was explored in the Romare Bearden exhibition?,"The exhibition explored the theme of the impact of car ownership on Black American lives in Pittsburgh's mid 20th-century neighborhoods. It also featured the work of artist and social activist, Vanessa Germany, who created a sculpture that reflected the themes of nostalgia and urban vibrancy in her art. The exhibition also considered the social consciousness and actions of celebrated African American artists, such as the artist-poet-activist, Vannevar German, whose work was featured in this exhibition."
What areas influenced Romare Bearden's artistic narratives?,"Bearden was influenced by his experiences in both rural and urban settings, as well as his observations of the social and economic disparities between these two environments. His narratives often depicted the struggles and triumphs of marginalized communities, particularly those of African American descent. Additionally, his work was shaped by the literary and religious themes he encountered throughout his life, which he incorporated into his art to convey deeper meanings and messages."
How many days are the guided tours of Clayton offered?,"There are no specific details provided about the number of days for the tours. However, it is mentioned that the group tour is available for Tuesdays through Fridays, so it can be inferred that tours are offered on a weekly basis."
What time do Clayton tours begin and end?,The tours at Clayton begin at 9:00 a.m.
What is included in Family Membership benefits at The Frick?,"The benefits that are included for Family Memberships are:
1. Free Admission to More Than 800 Museums
2. Tax-Deductibility of Join, Renew and Gift benefits"
At what membership level do members receive reciprocal museum benefits?,"10 members per organization per year. To learn more, please contact our Membership Department at membership@cmphistory.org or 412-624-7000. > > The Carnegie Science Center is committed to providing access to all members of our community, regardless of age, ability, income, or background. We are proud to offer a variety of memberships and discounts to ensure that everyone has the opportunity to experience the wonder and excitement of science and technology. Visit our website for more information about our membership options and how you can save money while exploring the world of STEM!"
