question,output
How much does parking cost at Carnegie Science Center?,
What is the name of the cafe at Carnegie Science Center?,
What film is showing in Carnegie Science Center's Rangos Giant Cinema in 2025?,
What system can be used to pay for parking at Latrobe?,
What is the name of the hotel in Latrobe mentioned in the document?,springhill suites pittsburgh of latrobe stay inn
What Frank Lloyd Wright house is mentioned as a tourist attraction?,fallingwater and kentuck knob
What amusement park is mentioned as a nearby attraction?,
Which restaurant is described as being located at the Airport?,pittsburgh welcome center
What production is scheduled to run from March 22-30 at the Benedum Center?,"the summer king, 2017"
In which year was Pittsburgh Opera founded?,1939
Who are the five women who founded The Pittsburgh Opera Society?,carolyn hunt mahaffey ; priscilla w. collins ; ruby n. wickersham ; and marie m. pease
Which opera house serves as Pittsburgh Opera's principal stage?,
What is the name of Pittsburgh Opera's headquarters?,
Who became the Artistic Director of Pittsburgh Opera in 2000?,christopher hahn
Who is the current Music Director of Pittsburgh Opera?,antony walker
In what year did Pittsburgh Opera move to its current headquarters in the Strip District?,1971
What certification did Pittsburgh Opera obtain for its renovation and maintenance of the Bitz Opera Factory?,silver
"Which opera is scheduled for a Student Matinee performance on March 27, 2025?",madama butterfly
How much do tickets for the Student Matinee cost?,
What is the title of Pittsburgh Opera's 2025 world premiere opera?,benedum centermar 22 - 30
"Who is the composer of ""Woman With Eyes Closed""?",christian kriegeskotte
"What real-life event inspired the opera ""Woman With Eyes Closed""?",lucien freud
"How many possible endings does ""Woman With Eyes Closed"" have?",
What is the name of Pittsburgh Opera's program for rising opera stars?,pittsburgh opera resident artist program
Where was Pittsburgh Opera located before moving to the Strip District?,
Who led Pittsburgh Opera for nearly 40 years as its first conductor?,richard karp of vienna
When did Pittsburgh Opera establish its own orchestra?,1939
What is the name of Pittsburgh Opera's season-ending gala in 2025?,signature fundraising gala
Where will the Opera in Red gala be held?,
What special accommodation does Pittsburgh Opera offer for patrons with visual impairments?,audio description service for customers with visual impairments during tuesday performances at capa theater
What is the minimum age requirement to attend Pittsburgh Opera performances?,six
What is the minimum age for children to use Pittsburgh Opera's childcare service?,six
"What is ""Madama Butterfly"" about in the 2025 production?",
"Who created the new production of ""Madama Butterfly""?",an all japanese and japanese american creative team
"What technology is incorporated into the new ""Madama Butterfly"" production?",
"Who will be singing the role of Cio-Cio San in the 2025 production of ""Madama Butterfly""?",
What time do Pittsburgh Opera's pre-opera talks begin?,
What is the name of Pittsburgh Opera's mobile app feature that delivers visual and audio content during performances?,livenote®
What are Supertitles?,english texts
How much do Pittsburgh Opera's tickets at the Benedum and Byham start at?,$ 114
What is one of the common myths about opera addressed in the document?,ethical dilemmas
What time does the Benedum Center open before performances?,
What special discount does Pittsburgh Opera offer to military personnel?,pittsburgh symphony orchestra tickets
How many Resident Artists are typically in Pittsburgh Opera's program each year?,five
What is Pittsburgh Opera's Opera Trunk program?,2024 - 25 opus pass
Who sponsors Pittsburgh Opera's 2025 Student Matinee?,
What is the name of Pittsburgh Opera's initiative for connecting opera to families from select Pittsburgh neighborhoods?,pittsburgh opera!
What is Pittsburgh Opera's rating on Charity Navigator?,
What is the purpose of Pittsburgh Opera's workshops for educators?,get materials to prepare students
Who was Richard Karp?,
What was the Artistic Excellence Project?,advance the ideas and disciplines that enrich our world and inspire the next generation of makers and creators
In what year did Tito Capobianco become Pittsburgh Opera's General Director?,1983
What pioneering technology did Pittsburgh Opera implement under Capobianco's leadership?,supertitles
What is the name of Pittsburgh Opera's signature fundraising gala?,threads of destiny
What was the theme of Pittsburgh Opera's 2024-25 season workshops for educators?,
What special service is offered at Tuesday performances for patrons with visual impairments?,audio description service
What is the function of Pittsburgh Opera's Opera Academy?,"help you explore individual operas and the field in general. education programs at pittsburgh opera translate this multi - disciplinary art form into relevant, engaging, and enriching experiences for educators, students, schools, families, and adults. pittsburgh opera ’ s education programs were recognized as a finalist at the 2019 international opera awards. we were the only opera company from the united states among the finalists. we invite you to join us to learn more. the internationally - renowned pittsburgh opera resident artist program is among the country ’ s top five training centers for rising opera stars and the newly designed administrative and rehearsal space provides for events ranging from free community song shop concerts to concert recitals by world - class opera singers. pittsburgh opera ’ s long - standing commitment to artistic excellence, responsible fiscal management and good neighborship will continue to prove a valuable asset to the city of pittsburgh and the surrounding region for years to come. 2425 liberty ave. pittsburgh, pa 15222 p. ©2025 pittsburgh opera benedum centermar 22 - 30 pittsburgh opera is a proud part of the pittsburgh community"
What is the purpose of the Monteverdi Society?,
Who is Madama Butterfly's husband in the opera?,cio - cio - san
What area of the Bitz Opera Factory serves as the childcare location during performances?,second level
What is the name of Pittsburgh Opera's 2025 fashion event?,threads of destiny
What is included with a Pittsburgh Opera Opus Pass?,
How many operas are included in Pittsburgh Opera's standard full subscription package?,
When was Pittsburgh Opera's first production?,march 1940
What was Pittsburgh Opera's first production?,the tales of hoffmann
Who provided the Audio Commentary service for Pittsburgh Opera since 2003?,a volunteer team
What childcare provider does Pittsburgh Opera partner with for its childcare service?,pittsburgh cultural trust
How much does it cost to add the Opus Pass Subscription Add On to a traditional subscription package?,
What is Pittsburgh Opera's 87th season opening production?,pittsburgh opera
What is Pittsburgh Opera's mission?,foundation of pittsburgh ’ s vibrant cultural and artistic scene
What type of LEED certification did Pittsburgh Opera obtain in June 2011?,leadership in energy and environmental design
What special features are available on Pittsburgh Opera's mobile app?,
Which company powers Pittsburgh Opera's mobile app?,instant encore
What is OPERA America?,a multi - faceted art form
What is Pittsburgh Opera's annual winter theme for restaurant week?,“ new dishes for the new year
How many days in advance can an Opus Pass holder redeem their pass for a specific performance?,
What zones at the Benedum Center can Opus Pass holders be seated in?,zone a
What is Pittsburgh Opera's policy for latecomers?,"late seating is handled on a show - by - show basis. please note that for some of our shows at other venues, including at the bitz opera factory, there is no late seating. when possible without disrupting the performance, pittsburgh opera will make every attempt to accommodate late arrivals"
What is the name of Pittsburgh Opera's 80th Anniversary Campaign?,©2025 pittsburgh opera ©2025 pittsburgh opera ©2025 pittsburgh opera
How many opera companies in the United States are older than Pittsburgh Opera?,22 - 30
What ticket insurance does Pittsburgh Opera offer for single ticket purchases?,
What is the cost of Booking Protect ticket insurance?,just 7 % of your pre - tax order total
Which opera will be performed at Calvary Episcopal Church in 2026?,"which opera will be performed at calvary episcopal church in 2026? benedum centermar 22 - 30 october 5, 8, 11, 13, 2024 november 9, 12, 15, 17, 2024 january 25, 28, 31, february 2, 2025 march 22, 25, 28, 30, 2025 april 26, 29, may 2, 3, 4, 2025 october 18, 21, 24, 26, 2025 november 14, 15, 16, 2025 january 24, 27, 30, feb. 1, 2026 february 28, march 3, 6, 8, 2026 april 28, may 1, 3, 2026 2425 liberty ave. pittsburgh, pa 15222 p. ©2025 pittsburgh opera benedum centermar 22 - 30 from classics to new american operas, there ' s a performance at pittsburgh opera for everyone on your list"
What form of payment does Pittsburgh Opera accept for tickets?,
How many weeks in advance must in-kind donation requests be submitted to Pittsburgh Opera?,3
What is the cost of a Pittsburgh Opera gift card?,
What is the price range for Opera Trunks?,"25 "" square by 44 "" high"
What educational program does Pittsburgh Opera offer for teachers of all grade levels?,the workshop
What are the Opera Trunk themes mentioned in the document?,"transportation, one month trunk residency, and a presentation by teaching artists at the residency location"
How does Pittsburgh Opera's rideshare program work?,
What social media platforms does Pittsburgh Opera use?,"iphones, ipads and ipod touch"
Where is the Fort Pitt Museum located?,point state park
What is Meadowcroft Rockshelter?,the oldest site of human habitation in north america
What opera is being performed in October 2025?,madama butterfly
What is the plot of La Bohème?,
Which opera is based on Shakespeare's The Merry Wives of Windsor?,verdi ’ s buoyant comedy
What is the timeframe of Fellow Travelers?,
What is the oldest site of human habitation in North America mentioned in the document?,meadowcroft rockshelter
What is the Cheap Seats program?,
What is the Student Rush program at Pittsburgh Opera?,
Which opera company did Pittsburgh Opera partner with to co-produce the new Madama Butterfly?,opera america
Who is the conductor for most of Pittsburgh Opera's 2024-25 productions?,
What accessibility features does Pittsburgh Opera provide for deaf patrons?,"visual, hearing, and print impairments"
Who is Christopher Hahn?,
What is Opera Up Close?,
What time does Pittsburgh Opera's box office open on performance days?,
"What is the ""Pittsburgh Opera Preview Show""?",
What does the Cultural District fee amount to per ticket?,
What non-subscription discount option does Pittsburgh Opera offer to university students?,
What exhibition features Kara Walker's work at The Frick Pittsburgh?,harper
What dates is the Kara Walker exhibition on display at The Frick Art Museum?,may 1
"What technique does Kara Walker use in her ""Harper's Pictorial History of the Civil War (Annotated)"" exhibition?",
How many large-scale prints are featured in the Kara Walker exhibition?,
What is the source material that Kara Walker's exhibition revisits?,
What special feature does the Kara Walker exhibition include regarding community involvement?,
How much does general admission to the Kara Walker exhibition cost?,
Is there a discounted admission rate available for the Kara Walker exhibition?,
What is the name of the tour that immerses visitors in the year 1892 at Clayton?,"gilded, not golden, the newly reinterpreted tour of clayton, won a 2024 leadership in history award from the american association for state and local history. "" the tour guide did an excellent job of explaining the house details, decorative arts, family history & gilded age, in general. i particularly liked how history of the working class was woven in as a counterpoint to the lavish lifestyle of the wealthy. "" - claire l. schedule a tour members are encouraged to call the members hotline at enter your username and password to login to your account. don ' t have an account? contact us! take a break from the winter weather and enjoy art, history, and nature! this season there ' s something for everyone : enjoy kara walker : harper ' s pictorial history of the civil war ( annotated ), transport yourself back to 1892 with our signature gilded, not golden tour"
"What award did the ""Gilded, Not Golden"" tour at Clayton win in 2024?",
"What organization awarded the recognition to Clayton's ""Gilded, Not Golden"" tour?",american association for state and local history
How long does the Clayton tour typically last?,10 - minute intervals
What ages is the Clayton tour most appropriate for?,teens 13 – 18 years old
Where is the starting point for visitors to The Frick Pittsburgh?,anywhere
What are the open hours for the grounds at The Frick Pittsburgh?,10 a. m. – 5 p. m.
Which three museums are part of The Frick Pittsburgh complex?,
What is housed in the Car and Carriage Museum at The Frick?,historic carriages and automobiles
"Who is performing at The Frick on March 29, 2025?",
What inspired KEA's performance at The Frick?,
What does KEA's ticket price include?,
Who are the musicians that accompany KEA during her performance?,"miki howard and jean carne across a range of la venues. inspired by kara walker : harper ’ s pictorial history of the civil war ( annotated ), kea — an acclaimed artist celebrated for her soulful voice, evocative storytelling, and magnetic stage presence — weaves together music, poetry, and visual elements to reflect on the legacy of racial history in america. joined by her talented duo of musicians on drums and guitar"
What are KEA's musical influences?,
What was KEA's debut single called?,ilove you
"What was unique about the video for ""iLove You""?",unique outlet of soul with a touch of jazz
What was KEA's second single called?,ilove you
Which legendary artist's song did KEA cover?,
"What was different about KEA's version of ""Being with You"" compared to the original?",
Which percussion player performs with KEA and has toured with notable artists?,
Which bands or artists has Kai the percussionist performed with?,
What notable venue did Kai perform at with Snoop Doggy Dogg?,
What are the hours for the guided Car and Carriage Museum tours?,one hour
On which days are the Car and Carriage Museum tours offered?,saturdays
How much does admission to The Frick Art Museum's permanent collection cost?,
What historical house can be toured at The Frick Pittsburgh?,what historical house can be toured at the frick pittsburgh? visit explore the frick plan your visit see and do make the most of your visit plan ahead learn explore from anywhere virtual museum exhibitions now on view kara walker
Who founded The Frick Pittsburgh?,kara walker
"What event occurs on April 16, 2025 at The Frick Art Museum?",
"What is the topic of Dr. Edda Fields-Black's examination on April 24, 2025?",
"What is happening on May 1, 2025 regarding the Kara Walker exhibition?",you ' re invited to a lively and interactive evening
What dining option is available at The Frick Pittsburgh?,
What type of dining experience does The Café at the Frick offer?,
What greenhouse feature does The Frick Pittsburgh have?,
How large is The Frick Pittsburgh site?,
What can be seen in the Chinese porcelain collection at The Frick?,spectacular chinese porcelains
What is the name of the outdoor sculpture by Vanessa German at The Frick?,
"What is the theme of the ""Reckoning: Place and Imagination"" installation?",
Who is the first curator-in-charge of The Frick Art Museum mentioned in the text?,"henry clay frick ' s early purchases, to his daughter helen ' s collecting interests, through to the acquisitions that have been made by the museum in recent years, this exhibition told the story of the frick pittsburgh through its collection. henry clay frick"
What painting by Arcangelo Cola da Camerino is mentioned in the text?,the madonna and child
What special installation showcases Henry Clay Frick's collection of Chinese porcelains?,"this special installation showcases henry clay frick ' s broad and stunning collection of chinese porcelains, which once decorated both clayton and the fricks ' summer estate, eagle rock"
What exhibition partnered with Carnegie Mellon University Libraries?,uprooted : plants out of place
What is the theme of the Pittsburgh Builds Bridges initiative?,
What is featured in the Duquesne SoundWalk at the Frick?,
What previous exhibition focused on Shakespeare's First Folio?,"april 1, 2023 - march 10, 2024 in partnership with carnegie mellon university libraries, from stage to page : 400 years of shakespeare in print"
"What dates was the ""Pittsburgh's Hill District during the Great Migration"" exhibition on display?",
What theme was explored in the Romare Bearden exhibition?,social conscience and action
What areas influenced Romare Bearden's artistic narratives?,literature and religion
How many days are the guided tours of Clayton offered?,six weeks
What time do Clayton tours begin and end?,10 - minute intervals
What is included in Family Membership benefits at The Frick?,"free admission to more than 1, 000 museums"
At what membership level do members receive reciprocal museum benefits?,
How many museums can members access through the reciprocal programs?,
What three museum networks are included in the reciprocal membership benefits?,
What special phone line is available for members to call?,voice / tty
What is the address of The Frick Pittsburgh?,2pittsburgh
How far is The Frick Pittsburgh from downtown?,
What public transportation options are available to reach The Frick?,"pittsburgh regional transit buses 67, 69, and 71c *"
Which PRT buses provide service to The Frick Pittsburgh?,"67, 69, and 71c *"
Where is the entrance to The Frick Pittsburgh located?,anywhere
What free parking option is available at The Frick?,
What is the original name of Clayton before the Frick family purchased it?,millionaire ’ s row
In what year did Henry Clay Frick purchase Clayton?,1890
What is the purpose of The Frick Societies?,supports our mission
What society is named after the renowned seventeenth-century Flemish Baroque painter?,
What painting by Rubens is part of the Frick's collection?,woman with a horse and carriage
What society honors the legacy of the Frick's founder?,
What is the minimum combined annual gift amount to join The Frick Societies?,"$ 1, 000 or more"
What educational programs does The Frick offer for K-12 students?,hands - on learning
What teacher benefits does The Frick offer?,
What summer program does The Frick offer for children?,second saturday studios
What is offered at The Frick Museum Store?,
Where is The Frick Museum Store located?,grable visitor center
What financial support option involves donating stock to The Frick?,
What are the tax benefits of donating appreciated stock to The Frick?,
How can someone include The Frick in their estate plans?,
What partnership has The Frick established to make legacy giving easier?,freewill
What is the minimum group size for group tours of Clayton?,8 to 10
How far in advance must group tour requests be made?,six weeks
What is the cost per person for a group tour of Clayton?,$ 20
What is the maximum group size for Car and Carriage Museum tours?,8 to 10
What program brings the sights and sounds of Frick history to life?,view calendar
What university collaborated on the Duquesne SoundWalk project?,mary pappert school of music
What day was selected for the free admission day sponsored by Highmark Blue Cross Blue Shield?,
Who is the museum's Marketing & Communications Manager?,
What notable building preservation is mentioned in the history of Pittsburgh?,pittsburgh history and landmarks foundation
Who is Dr. Kahren Jones Arbitman and what is her connection to The Frick?,"kara walker : harper '... previous event : next event : keep up to date with news and events from the frick pittsburgh newsletter. copyright 2018 | the frick pittsburgh | & chief examiner — 32g — — 1 32g 12 107, 490 senior hr manager"
What historical significance does Fallingwater have near Pittsburgh?,
What special collection is housed at St. Anthony's Chapel in Pittsburgh?,
How many covered bridges are there in Greene County?,"over 2, 000"
What historical figure has a museum dedicated to them in Indiana County?,harrison ford
What is Ohiopyle State Park known for?,awesome outdoor experiences
What is Meadowcroft Rockshelter's significance?,oldest site of human habitation in north america
What is celebrated at the Pittsburgh Irish Festival?,
What is the Heinz History Center?,people museum
When is the Heinz History Center open?,
Where is the Heinz History Center located?,pittsburgh ’ s historic strip district
What museums are part of the Heinz History Center family?,
What is the Western Pennsylvania Sports Museum?,a state - of - the - art museum at the senator john heinz history center
What is the Fort Pitt Museum?,the fort pitt museum is dedicated to preserving the history of fort pitt and pittsburgh during the french and indian war
What is Meadowcroft Rockshelter and Historic Village?,
How old is the Meadowcroft Rockshelter?,"19, 000 years ago"
What can visitors see at the Western Pennsylvania Sports Museum?,one - of - a - kind sports artifacts and interactive exhibits
What can visitors discover at the Fort Pitt Museum?,"world - shaping events that occurred right here in pittsburgh for free at the fort pitt museum! join treat your family to a heinz history center membership and visit four museums for one price! a family membership includes free, unlimited admission for 2 adults and 4 children ( ages 18 and under ), 15 % discount at all museum shops, a subscription to the smithsonian magazine and the western pennsylvania history magazine, and exclusive member events. © 2025 heinz history center the strategic location of the fort – at the forks of the ohio river – helped to shape the course of american and world history. first opened in 1969 in a reconstructed bastion, the fort pitt museum provides visitors with a rich understanding of the world - changing events that occurred right here in western pennsylvania. through interactive exhibitions, life - like historical figures, and recently added artifacts, visitors will learn the important role our region played in shaping the united states"
What is America 101?,"what is america 101? and beyond are more knowledgeable about american history and able to pass the history and civics portion of the u. s. citizenship test. america 101 is supported by nimick forbesway foundation, grable foundation, jack buncher foundation, charity randall foundation, and upmc. the intuitive and easy - to - use citizen you mobile app is designed to foster civic engagement by gamifying everyday civic actions. the free app helps bring together citizens of all ages to compete in challenges and earn points for a variety of civic - minded activities including attending local council meetings, helping a neighbor in need, and ( most importantly ) voting! search “ citizen you ” on the app store or google play to download the app. could you pass the exam that contains the basic information our government believes all new citizens should know? as the largest history museum in the commonwealth of pennsylvania and a proud affiliate of the smithsonian institution, the heinz history center is committed to telling the american story and inspiring a community of citizens to explore what it means to be an american. the history center ’ s america 101 initiative empowers citizens to know and act on the promise of the country ’ s founders"
What are some annual fundraising events for the History Center?,preserve your memories and celebrate loved ones by purchasing a lasting gift inside the history center. from time capsules and personalized floor tiles to rocking chairs and commemorative sports items
What is the History Makers Award Dinner?,a tradition that celebrates exceptional individuals with connections to western pennsylvania
What is History Uncorked?,pittsburgh ’ s party for young professionals
What is the Bocce Tournament & Festival?,limited to 10 - 4 man teams
What collection does the Bocce Tournament support?,
What is one way visitors can sustain the legacy of the History Center?,celebrate the ‘ can do ’ spirit and rich history of the pittsburgh region by attending an annual history center fundraising event
Can employers match gifts to the History Center?,you can double or triple your gift
What rating did the History Center earn from Charity Navigator?,4 - star rating
What kinds of planned giving options are available for the History Center?,charitable trusts and bequests
What is the Detre Library & Archives?,
When was the Detre Library & Archives founded?,1879
What kinds of materials does the Library & Archives preserve?,"each item or collection that is donated is assigned a unique number and entered into the online catalog. depending on the size of a collection, more work might need to be done prior to it being accessible to the public. this includes, but limited to, organizing, re - housing materials in acid - free folders, addressing minor preservation needs, and writing a finding aid to the collection. the rest are carefully catalogued and stored in a temperature controlled environment so that they will be available for future exhibits at the history center, for loan to other museums, or for research and reference for generations to come. please do nothing to the items. we prefer to see them in their original condition. do not clean, repaint, refinish, or “ spruce up ” historical materials before giving them to us. please provide as much related historical information as possible. for example, if you plan to offer your grandfather ’ s report card, you might also offer photographs of him as a student, samples of his school papers and the cap he wore at school. if you have photographs it is helpful to make copies and identify the people and locations in the images. documents, photographs and published materials"
What are the hours for the Detre Library & Archives?,"wednesday – saturday, 10 a. m. to 5 p. m"
Is there an admission fee to use the Detre Library & Archives?,access to the detre library & archives at the senator john heinz history center is free for all visitors. visitors coming to the history center solely to use the library & archives will not be charged admission
What digital resources does the Library & Archives offer?,"documents, photographs and published materials"
What is Historic Pittsburgh?,
What is the Jewish Encyclopedia of Western Pennsylvania?,a descriptive record of jewish history in western pennsylvania
What is the oldest continuously-published magazine in the region?,western pennsylvania history
What special programs does the History Center offer for children?,programs and field trips
What educational opportunities does the History Center provide?,programs and field trips
What scout programs are offered at the History Center?,programs and field trips for learners of all ages
What types of field trips does the History Center offer?,virtual school programs
What is the Making History blog?,
What is the Food & Fitness program?,pittsburgh food justice fund
What is Women Forging the Way?,an initiative focused on elevating women ’ s history year round
What is the GigaPan at Meadowcroft?,
What is the African American Program at the Heinz History Center?,"preservation, dissemination, and interpretation of the life, history, and culture"
When was the African American Program established?,"heinz history center is dedicated to the preservation, dissemination, and interpretation of the life, history, and culture of africans and african americans in western pennsylvania"
What is the purpose of the African American Advisory Council?,"supports programming, promotes collection development, and assists in the facilitation of various projects"
What is the Italian American Program?,dedicated to preserving and interpreting the history and culture of italian americans in western pennsylvania
When was the Italian American Program founded?,1990
What is the Italian American Collection?,"one of the largest repositories of italian american artifacts, photographs, oral histories, and archival materials"
What is the Italian American Bollettino?,an e - communication
What is the Rauh Jewish History Program & Archives?,"collects, preserves, and disseminates information about jewish history in western pennsylvania"
When was the Rauh Jewish History Program & Archives founded?,1999
What types of materials does the Rauh Jewish Archives collect?,artifact collections
What accessibility features does the History Center provide?,"exhibits, programs, and public spaces"
Are service animals allowed at the History Center?,dogs are the only animals recognized as service animals by federal and state law
Are wheelchairs available at the History Center?,"wheelchairs are available for visitor use on a first - come, first - served basis"
What is the Museum Shop at the History Center?,mattress factory
Is there a café at the History Center?,
What is the Heinz History Center's policy on acquiring collections?,matching gift policy
How can someone donate materials to the History Center collection?,"how can someone donate materials to the history center collection? it is important to provide as much detail as you can about the articles you wish to donate, this will help the collections committee make a more informed decision. we cannot accept everything. organizing, cataloging, and preserving historical materials for the future takes so much space, time, and money, that donations must be selected very carefully. staff review each offer and compare it with what we already have in the collection, they assess its condition and determine what it tells us about life in western pennsylvania. normally, objects and artwork need to be seen before a decision can be made. unless we designate your materials for a specific exhibit, they will not be put on display immediately. what you see at the history center is only a very small part of the collections. that is because we have limited gallery space and because long - term display can have negative effects on preservation. requests to see artwork and objects should be made to the collections manager at. please give our curators and archivists at least two weeks advance notice. yes. the donor is responsible for determining and documenting the value of a donation. staff at the history center cannot appraise materials. they can give you a list of certified appraisers. materials are not accepted on long term loan, nor can agreements be made to return materials to heirs. occasionally, short term loans for specific exhibits are accepted. the deed of gift"
What criteria are used to assess potential donations to the collections?,a unique number and entered into the online catalog
Does the History Center appraise materials for donors?,cannot
Does the History Center accept long-term loans?,
What is the History Center's privacy policy regarding donor information?,disclosure of personal information the history center does not sell or rent any information to third parties
Does the History Center collect online survey information?,information collected automatically the history center may automatically collect information relating to visitors when they access our website
What is the History Center's policy on children's information?,disclosure of personal information the history center does not sell or rent any information to third parties
How does the History Center use cookies on its website?,"personal information you provide to us for internal purposes, such as filling and tracking your order, analyzing trends and collecting statistics"
What is the History Center's Social Media Policy?,to provide our online community with a positive experience on our platforms
What types of posts might the History Center remove from social media?,"your name, postal address, email address, and phone number"
What is the Pittsburgh Symphony Orchestra?,bruckner
Who is the Music Director of the Pittsburgh Symphony Orchestra?,manfred honeck
How long has Manfred Honeck been the Music Director of the Pittsburgh Symphony?,thirty years
What is Manfred Honeck's background?,
What recordings has the Pittsburgh Symphony Orchestra produced?,bruckner : symphony no. 7
Who is the Assistant Conductor of the Pittsburgh Symphony Orchestra?,read more → moon doh
What is PSO Go?,
What discounts are available for students attending Pittsburgh Symphony performances?,perks card
"What is the ""Choose Your Own"" package for Pittsburgh Symphony tickets?",
What special benefits do Pittsburgh Symphony subscribers receive?,protecting any financial information that you provide
What dining discounts do Pittsburgh Symphony subscribers get?,perks card
What is the Ostinato Club?,the pittsburgh symphony ' s monthly giving program
Where is Heinz Hall located?,discovery place on the third floor
What security measures are in place at Heinz Hall?,bags failing to meet these requirements must be checked at which time a search will be conducted by security or returned to your vehicle
What is the bag policy at Heinz Hall?,bag and personal belongings policy heinz hall reserves the right to search any bags entering the facility
Is there a dress code for Heinz Hall events?,
What are the hours for the Heinz Hall Box Office?,"monday - friday, 9 am - 6 pm, saturday 12 pm - 4 pm"
How early do the doors open before performances at Heinz Hall?,one hour
What is the policy for latecomers at Heinz Hall?,
Are children welcome at all Heinz Hall performances?,"children, approximately age six and over, are welcome at all performances with a purchased ticket"
Is there a rush ticket policy at the Pittsburgh Symphony?,
What is the Latecomer's Gallery at Heinz Hall?,
Does Heinz Hall have accessible seating?,
Is Heinz Hall a non-smoking facility?,a non - smoking building and has a no smoking policy
What is the Pittsburgh Taco Festival?,an annual food festival
When was the Pittsburgh Taco Festival founded?,2016
When is the 2024 Pittsburgh Taco Festival scheduled?,"september, 14th, 202412 : 30pm - 7 : 00pm"
Where is the 2024 Pittsburgh Taco Festival located?,
Are pets allowed at the Pittsburgh Taco Festival?,
What is Picklesburgh?,the destination for all things pickled!
When is Picklesburgh 2025 scheduled?,"july 11 – sunday, july 13, 2025"
Is there an admission fee for Picklesburgh?,admission is always free
What can visitors expect to find at Picklesburgh?,book accommodations outside of downtown and utilize public transportation
What age restrictions exist for alcohol at Picklesburgh?,21 +
What award has Picklesburgh won?,fourth
When was the Frick Pittsburgh founded?,
What museums are part of the Frick Pittsburgh?,
What is Clayton at the Frick Pittsburgh?,
What is the Car and Carriage Museum at the Frick?,historic carriages and automobiles
What is currently on exhibition at the Frick Art Museum in 2025?,
Who is Kara Walker?,harper
What accessibility features does the Frick Pittsburgh offer?,
Are service animals allowed at the Frick Pittsburgh?,"service animals must be harnessed, leashed, or tethered"
What is the Educational Improvement Tax Credit Program?,a pennsylvania tax credit for businesses who make a donation to an approved nonprofit organization
How does the EITC program benefit businesses that donate to the Frick?,
What is the Frick Pittsburgh's land acknowledgement about?,"historic sites themselves, are exercises in preservation and reconciliation, engaged with past, present, and future"
What is COMBEE according to the event at the Frick?,
Who is Dr. Edda Fields-Black?,judith parker bernhard
What restaurants are dining partners with the Pittsburgh Symphony Orchestra?,
What is Fl.2 at Fairmont Pittsburgh?,the balance of vibrant and inviting elements designed to create the perfect dining experience
What discount do PSO subscribers receive at Vallozzi's?,perks card
What types of films does the Pittsburgh Symphony Orchestra perform live scores for?,"toy story, coco, ratatouille, cars, and many more"
What is PSO Disrupt?,violence from spreading
What is the Citizen You mobile app?,intuitive and easy - to - use
What is Made By Us?,"a national coalition that presents history in relevant, provocative and innovative ways"
What organizations are part of the Made By Us steering committee?,"leaders from eight iconic historical organizations, including the heinz history center, smithsonian ’ s national museum of american history, national archives, thomas jefferson ’ s monticello, new - york historical society, atlanta history center, historymiami, and missouri historical society"
What is the America 101 initiative?,empowers citizens to know and act on the promise of the country ’ s founders
What is National History Day at the History Center?,national history day competition
What special offer does the History Center have for kids during February and March 2025?,programs and field trips
When does Meadowcroft Rockshelter reopen in 2025?,
What time period does the Eastern Woodland Indian Village at Meadowcroft represent?,16th century
What is the Trails to Trains exhibit?,transports visitors through time
What Pittsburgh neighborhood is the Heinz History Center located in?,strip district
How many floors of exhibits does the Heinz History Center have?,six
What iconic children's television set is on display at the History Center?,mister rogers ’ neighborhood
What is the oldest jeep in the world doing at the History Center?,bantam reconnaissance car
What Pittsburgh company is featured in a 150-year innovation exhibition?,
What is the History Center membership program?,
What sports are featured in the Western Pennsylvania Sports Museum?,"one - of - a - kind sports artifacts and interactive exhibits that celebrate the rich tradition of sports in our region. when it comes to sports pride and sports history, no other region in the world is like western pennsylvania. when it comes to sports pride and sports history, no other region in the world compares. the western pennsylvania sports museum tells the stories of pittsburghers who became champions and champions who became pittsburghers. relive the iconic moments that made them great through hundreds of artifacts and more than 70 interactives in the two - floor museum located inside the history center. from boxing to baseball, from the sandlots to the professional leagues, your entire family will find something to cheer about. kids aged 17 and under receive free admission to the western pennsylvania sports museum this february and march, thanks to upmc and upmc health plan. tickets may be purchased in advance online or at the door. admission includes full access to the history center and sports museum. exhibits & events western pennsylvania sports museum get the inside scoop on featured exhibits and events at the museum. the history center museum shop is your one - stop shop for all things pittsburgh. in 2014, the history center opened the new museum conservation center, located directly behind the museum on penn avenue. the nine - story building houses the museum ’ s artifacts under one roof with smithsonian - quality storage. as pittsburgh ’ s “ people museum, ” the history center preserves and interprets the history of western pennsylvanians through six floors of interactive exhibitions that feature iconic artifacts like the tv set from “ mister rogers ’ neighborhood ” and the world ’ s oldest jeep. the western pennsylvania sports museum, located on the history center ’ s second and third floors, celebrates the unsurpassed sports legacy of the city of champions. from football to baseball and hockey to golf"
How many interactive activities are in the Sports Museum?,more than 70
What baseball teams are highlighted in the Negro League baseball section?,pittsburgh crawfords and the homestead grays
How many Grammy awards has the Pittsburgh Symphony Orchestra won?,"numerous grammy awards and nominations, including the award for best orchestral performance in 2018"
Who is the Principal Pops conductor of the Pittsburgh Symphony Orchestra?,manfred honeck
What instrument does Byron Stripling play?,trumpet
What are some places the Pittsburgh Symphony Orchestra has toured?,
