question,output,correct_answer
What is the Bocce Tournament & Festival?,limited to 10 - 4 man teams,"The Bocce Tournament & Festival is an event that supports the History Center's Italian American Program where participants can ""throw out the pallino and throw down for a worthy cause."""
What collection does the Bocce Tournament support?,,The Bocce Tournament supports the History Center's Italian American Program.
What is one way visitors can sustain the legacy of the History Center?,celebrate the ‘ can do ’ spirit and rich history of the pittsburgh region by attending an annual history center fundraising event,"Visitors can sustain the legacy of the History Center by purchasing a lasting gift inside the History Center, such as time capsules, personalized floor tiles, rocking chairs, and commemorative sports items."
Can employers match gifts to the History Center?,you can double or triple your gift,"Yes, employers can match gifts to the History Center. Donors can double or triple their gifts if they or their spouse work for an organization that matches charitable contributions."
What rating did the History Center earn from Charity Navigator?,4 - star rating,The History Center earned the coveted 4-star rating from Charity Navigator for sound fiscal management and commitment to accountability and transparency.
What kinds of planned giving options are available for the History Center?,charitable trusts and bequests,"Planned giving options for the History Center include charitable trusts and bequests, which can provide tax benefits for donors and their benefactors."
What is the Detre Library & Archives?,,"The Detre Library & Archives is Western Pennsylvania's preeminent source for researching the region's rich history, preserving historic artifacts and archival materials."
When was the Detre Library & Archives founded?,1879,The Detre Library & Archives was founded in 1879.
What kinds of materials does the Library & Archives preserve?,"each item or collection that is donated is assigned a unique number and entered into the online catalog. depending on the size of a collection, more work might need to be done prior to it being accessible to the public. this includes, but limited to, organizing, re - housing materials in acid - free folders, addressing minor preservation needs, and writing a finding aid to the collection. the rest are carefully catalogued and stored in a temperature controlled environment so that they will be available for future exhibits at the history center, for loan to other museums, or for research and reference for generations to come. please do nothing to the items. we prefer to see them in their original condition. do not clean, repaint, refinish, or “ spruce up ” historical materials before giving them to us. please provide as much related historical information as possible. for example, if you plan to offer your grandfather ’ s report card, you might also offer photographs of him as a student, samples of his school papers and the cap he wore at school. if you have photographs it is helpful to make copies and identify the people and locations in the images. documents, photographs and published materials","The Library & Archives preserves books, manuscripts, photographs, maps, atlases, newspapers, films, recordings, and digital materials documenting life in Western Pennsylvania."
What are the hours for the Detre Library & Archives?,"wednesday – saturday, 10 a. m. to 5 p. m",The Detre Library & Archives is open Wednesday through Saturday from 10 a.m. to 5 p.m.
Is there an admission fee to use the Detre Library & Archives?,access to the detre library & archives at the senator john heinz history center is free for all visitors. visitors coming to the history center solely to use the library & archives will not be charged admission,"No, access to the Detre Library & Archives at the History Center is free for all visitors."
What digital resources does the Library & Archives offer?,"documents, photographs and published materials","The Library & Archives offers digital resources including an online catalog, Historic Pittsburgh digital archive, Jewish Encyclopedia of Western Pennsylvania, finding aids, digital collection highlights, and Google Arts & Culture collections."
What is Historic Pittsburgh?,,"Historic Pittsburgh is a digital resource comprising primary and secondary sources about the greater Pittsburgh region, including publications, maps, manuscripts, visual images, and audio-video materials that support personal and scholarly research."
What is the Jewish Encyclopedia of Western Pennsylvania?,a descriptive record of jewish history in western pennsylvania,"The Jewish Encyclopedia of Western Pennsylvania is a descriptive online record of Jewish history in Western Pennsylvania providing basic information about hundreds of Jewish people, families, congregations, organizations, charities, businesses, and events dating back to 1755."
What is the oldest continuously-published magazine in the region?,western pennsylvania history,"Western Pennsylvania History is the region's oldest continuously-published magazine, in circulation since 1918."
What special programs does the History Center offer for children?,programs and field trips,"The History Center offers special programs for children including Discovery Place, the Neighborhood of Make-Believe, family-friendly exhibits and activities, and Fiddlesticks Family Concerts through the Pittsburgh Symphony."
What educational opportunities does the History Center provide?,programs and field trips,"The History Center provides educational opportunities including field trips, virtual school programs, programs for preschoolers, badge days for Scouts, continuing education for teachers, and an award-winning National History Day program."
What scout programs are offered at the History Center?,programs and field trips for learners of all ages,"The History Center offers scout programs including badge-earning activities at the History Center, tours and adventure programs at the Fort Pitt Museum, and programs about archaeology, American Indian cultural traditions, and camping opportunities at Meadowcroft."
What types of field trips does the History Center offer?,virtual school programs,"The History Center offers multi-disciplinary museum field trips, guided and self-guided field trips at the Fort Pitt Museum, and hands-on educational programs at Meadowcroft that allow students to explore the history of life in the upper Ohio Valley."
What is the Making History blog?,,"The Making History blog features posts on Western Pennsylvania history, content from the Library & Archives, curator collection spotlights, and more."
What is the Food & Fitness program?,pittsburgh food justice fund,The Food & Fitness program blends health and history to encourage visitors to learn more about wellness.
What is Women Forging the Way?,an initiative focused on elevating women ’ s history year round,"Women Forging the Way is an initiative focused on elevating women's history year-round, launched to commemorate the 100th anniversary of women gaining the right to vote in the U.S."
What is the GigaPan at Meadowcroft?,,"The GigaPan at Meadowcroft is a series of interactive images that allows anyone to explore the Meadowcroft Rockshelter archaeological site from any computer by clicking, dragging, scrolling to zoom, or clicking on tear-drop markers to access additional multimedia content."
What is the African American Program at the Heinz History Center?,"preservation, dissemination, and interpretation of the life, history, and culture","The African American Program at the Heinz History Center is dedicated to the preservation, dissemination, and interpretation of the life, history, and culture of Africans and African Americans in Western Pennsylvania."
When was the African American Program established?,"heinz history center is dedicated to the preservation, dissemination, and interpretation of the life, history, and culture of africans and african americans in western pennsylvania",The document does not specify exactly when the African American Program was established.
What is the purpose of the African American Advisory Council?,"supports programming, promotes collection development, and assists in the facilitation of various projects","The African American Advisory Council serves as a volunteer group of scholars, educators, artists, executives, entrepreneurs, journalists, politicians, and retirees that works with History Center staff as a liaison to the African American community and supports programming, promotes collection development, and assists in the facilitation of various projects."
What is the Italian American Program?,dedicated to preserving and interpreting the history and culture of italian americans in western pennsylvania,"The Italian American Program is dedicated to preserving and interpreting the history and culture of Italian Americans in Western Pennsylvania through exhibitions, educational programs, publications, and community outreach."
When was the Italian American Program founded?,1990,The Italian American Program was founded in 1990.
What is the Italian American Collection?,"one of the largest repositories of italian american artifacts, photographs, oral histories, and archival materials","The Italian American Collection is one of the largest repositories of Italian American artifacts, photographs, oral histories, and archival materials in the United States, documenting the pivotal role Italian Americans play in shaping the region's political, economic, religious, and cultural landscapes."
What is the Italian American Bollettino?,an e - communication,"The Italian American Bollettino is an e-communication that reports on what's happening with the History Center's Italian American Program, informing subscribers about upcoming events and highlights from the Italian American Collection."
What is the Rauh Jewish History Program & Archives?,"collects, preserves, and disseminates information about jewish history in western pennsylvania","The Rauh Jewish History Program & Archives was founded to collect, preserve, and make accessible the documentary history of Jews and Jewish communities of Western Pennsylvania."
When was the Rauh Jewish History Program & Archives founded?,1999,The Rauh Jewish History Program & Archives was founded in 1988.
What types of materials does the Rauh Jewish Archives collect?,artifact collections,"The Rauh Jewish Archives collects correspondence, diaries, memoirs, ledgers, minutes, scrapbooks, ephemera, audio tapes, photographs, and moving images documenting the lives of individuals and families and the histories of congregations, organizations, institutions, and businesses."
What accessibility features does the History Center provide?,"exhibits, programs, and public spaces","The History Center provides accessibility features including wheelchairs, sensory bags, assistive listening devices, sign language interpreters, and support staff admission."
Are service animals allowed at the History Center?,dogs are the only animals recognized as service animals by federal and state law,"Yes, service animals are welcome at the Heinz History Center, Fort Pitt Museum, and Meadowcroft Rockshelter and Historic Village."
Are wheelchairs available at the History Center?,"wheelchairs are available for visitor use on a first - come, first - served basis","Yes, a limited number of manual wheelchairs are available to visitors on a first come, first served basis located in the first floor coat room of the History Center."
What is the Museum Shop at the History Center?,mattress factory,"The Museum Shop at the History Center offers Pittsburgh-themed gifts ranging from Heinz 57 to ""Mister Rogers' Neighborhood"" merchandise, vintage sports items, and other one-of-a-kind items."
Is there a café at the History Center?,,"Yes, the Café at the History Center offers a wide array of grab-and-go items including fresh wraps, salads, sandwiches, and kid-friendly options from Common Plea Catering, open daily during museum hours."
What is the Heinz History Center's policy on acquiring collections?,matching gift policy,"The History Center actively seeks collections and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present, with careful assessment by the Collections Committee."
How can someone donate materials to the History Center collection?,"how can someone donate materials to the history center collection? it is important to provide as much detail as you can about the articles you wish to donate, this will help the collections committee make a more informed decision. we cannot accept everything. organizing, cataloging, and preserving historical materials for the future takes so much space, time, and money, that donations must be selected very carefully. staff review each offer and compare it with what we already have in the collection, they assess its condition and determine what it tells us about life in western pennsylvania. normally, objects and artwork need to be seen before a decision can be made. unless we designate your materials for a specific exhibit, they will not be put on display immediately. what you see at the history center is only a very small part of the collections. that is because we have limited gallery space and because long - term display can have negative effects on preservation. requests to see artwork and objects should be made to the collections manager at. please give our curators and archivists at least two weeks advance notice. yes. the donor is responsible for determining and documenting the value of a donation. staff at the history center cannot appraise materials. they can give you a list of certified appraisers. materials are not accepted on long term loan, nor can agreements be made to return materials to heirs. occasionally, short term loans for specific exhibits are accepted. the deed of gift","Someone can donate materials to the History Center collection by filling out a Collection Donation Form providing information about the materials and their connection to Western Pennsylvania, which is then assessed by the Collections Committee."
What criteria are used to assess potential donations to the collections?,a unique number and entered into the online catalog,"The History Center assesses potential donations based on their historical or cultural significance to Western Pennsylvania, physical condition, whether the museum already owns similar items, and the ownership history of the items."
Does the History Center appraise materials for donors?,cannot,"No, the History Center cannot appraise materials. Staff can provide a list of certified appraisers, but the donor is responsible for determining and documenting the value of a donation."
Does the History Center accept long-term loans?,,"No, materials are not accepted on long-term loan, nor can agreements be made to return materials to heirs. Occasionally, short-term loans for specific exhibits are accepted."
What is the History Center's privacy policy regarding donor information?,disclosure of personal information the history center does not sell or rent any information to third parties,"The History Center does not sell or rent any donor information to third parties. Periodically they trade donor lists with other similar non-profit organizations, but donors may opt out of these trades."
Does the History Center collect online survey information?,information collected automatically the history center may automatically collect information relating to visitors when they access our website,"Yes, the History Center collects information through voluntary online surveys to help better understand their audience, which in turn allows them to better meet visitor needs and interests."
What is the History Center's policy on children's information?,disclosure of personal information the history center does not sell or rent any information to third parties,The Heinz History Center does not solicit personal information from children. Visitors 18 years of age and under are required to obtain an adult's permission before submitting any personal information to the website.
How does the History Center use cookies on its website?,"personal information you provide to us for internal purposes, such as filling and tracking your order, analyzing trends and collecting statistics","The History Center uses cookies to track usage patterns, trends and visitor behavior, as well as to record other information regarding visitors' use of the website. The information collected from cookies is only used in aggregate form."
What is the History Center's Social Media Policy?,to provide our online community with a positive experience on our platforms,The History Center's Social Media Policy aims to provide a public forum for respectful discussion and dialogue while ensuring their social media channels maintain appropriate content standards.
What types of posts might the History Center remove from social media?,"your name, postal address, email address, and phone number","The History Center might remove posts containing profanity or obscenity, threatening language, defamatory statements, spam or promotional content, copyright violations, personal attacks, or discriminatory language based on race, ethnicity, religion, gender, sexual orientation, age, or disability."
What is the Pittsburgh Symphony Orchestra?,bruckner,"The Pittsburgh Symphony Orchestra is one of America's most distinguished orchestras, based in Pittsburgh at Heinz Hall, serving as cultural ambassadors for the city through performances locally and worldwide."
Who is the Music Director of the Pittsburgh Symphony Orchestra?,manfred honeck,Manfred Honeck is the Music Director of the Pittsburgh Symphony Orchestra.
How long has Manfred Honeck been the Music Director of the Pittsburgh Symphony?,thirty years,"Manfred Honeck has been the Music Director of the Pittsburgh Symphony Orchestra since 2008, currently in his 17th season (as of 2025)."
What is Manfred Honeck's background?,,"Manfred Honeck is an Austrian conductor who completed his musical training at the University of Music in Vienna and has experience as a member of the viola section in the Vienna Philharmonic and Vienna State Opera Orchestra, which has influenced his work as a conductor."
What recordings has the Pittsburgh Symphony Orchestra produced?,bruckner : symphony no. 7,"The Pittsburgh Symphony Orchestra has produced numerous recordings on the Reference Recordings label, featuring works by Beethoven, Brahms, Bruckner, Shostakovich, Strauss, Tchaikovsky and others, which have received many GRAMMY nominations and awards."
Who is the Assistant Conductor of the Pittsburgh Symphony Orchestra?,read more → moon doh,Moon Doh and Jacob Joyce are both listed as Associate Conductors of the Pittsburgh Symphony Orchestra.
What is PSO Go?,,"PSO Go is a discounted ticket program for students and PreK-12th grade teachers that provides alerts for discounted rush tickets to available BNY Classics, Disrupt, or PNC Pops performances."
What discounts are available for students attending Pittsburgh Symphony performances?,perks card,"Students can access discounted subscriptions, PSO Go program for rush tickets, and annual passes allowing access to multiple performances throughout the season."
"What is the ""Choose Your Own"" package for Pittsburgh Symphony tickets?",,"The ""Choose Your Own"" package allows patrons to save 15% off single ticket prices when they choose 3 or more concerts from PNC Pops, Movies, or BNY Classics concerts."
What special benefits do Pittsburgh Symphony subscribers receive?,protecting any financial information that you provide,"Pittsburgh Symphony subscribers receive benefits including savings up to 28% on concerts, ticket exchange flexibility, priority seating, personal customer service, guaranteed parking options, pre-sale opportunities for special concerts, and invitations to exclusive events."
What dining discounts do Pittsburgh Symphony subscribers get?,perks card,Pittsburgh Symphony subscribers receive discounts and special offers at downtown Pittsburgh Dining Partner venues by presenting their Perks Card at participating establishments.
What is the Ostinato Club?,the pittsburgh symphony ' s monthly giving program,The Ostinato Club is the Pittsburgh Symphony's monthly giving program.
Where is Heinz Hall located?,discovery place on the third floor,Heinz Hall is located in downtown Pittsburgh in the Cultural District at 600 Penn Avenue.
What security measures are in place at Heinz Hall?,bags failing to meet these requirements must be checked at which time a search will be conducted by security or returned to your vehicle,"Heinz Hall has implemented a ""free-flow"" scanning security system that allows patrons to walk through unimpeded without removing coats, bags, cell phones or keys, while still providing enhanced security."
What is the bag policy at Heinz Hall?,bag and personal belongings policy heinz hall reserves the right to search any bags entering the facility,"Heinz Hall reserves the right to search any bags entering the facility. Oversized bags must fit comfortably under a seat, and those failing to meet requirements must be checked or returned to vehicles."
Is there a dress code for Heinz Hall events?,,"No, there is no official dress code for events at Heinz Hall. Many patrons wear business attire, but casual attire is also acceptable."
What are the hours for the Heinz Hall Box Office?,"monday - friday, 9 am - 6 pm, saturday 12 pm - 4 pm","The Heinz Hall Box Office hours are Monday - Friday, 9 am - 6 PM, Saturday 12 pm - 4 pm."
How early do the doors open before performances at Heinz Hall?,one hour,The doors at Heinz Hall open one hour prior to classical concerts and one hour prior to all other performances.
What is the policy for latecomers at Heinz Hall?,,"Latecomers to Heinz Hall performances will be seated at suitable intervals during the program, at the discretion of the conductor."
Are children welcome at all Heinz Hall performances?,"children, approximately age six and over, are welcome at all performances with a purchased ticket",Children aged six and over are welcome at all performances with a purchased ticket. The Latecomer's Gallery and lobby video monitors are available for restless children.
Is there a rush ticket policy at the Pittsburgh Symphony?,,"Beginning two hours prior to most BNY Mellon Grand Classics and PNC Pops performances, students and seniors (age 62+) may purchase discounted rush tickets, subject to availability and restricted to certain seating sections."
What is the Latecomer's Gallery at Heinz Hall?,,The Latecomer's Gallery is located behind the Main Floor at Heinz Hall and affords patrons who arrive after the beginning of a concert the opportunity to enjoy the performance until they can be seated.
Does Heinz Hall have accessible seating?,,"Yes, Heinz Hall provides accessible seating and services for patrons with disabilities."
Is Heinz Hall a non-smoking facility?,a non - smoking building and has a no smoking policy,"Yes, Heinz Hall is a non-smoking building with a No Smoking Policy."
What is the Pittsburgh Taco Festival?,an annual food festival,The Pittsburgh Taco Festival is an annual food festival celebrating tacos and supporting Pittsburgh's Latin-American community.
When was the Pittsburgh Taco Festival founded?,2016,The Pittsburgh Taco Festival was founded in 2016 by Craig McCloud.
When is the 2024 Pittsburgh Taco Festival scheduled?,"september, 14th, 202412 : 30pm - 7 : 00pm","The 2024 Pittsburgh Taco Festival is scheduled for September 14, 2024, from 12:30pm to 7:00pm."
Where is the 2024 Pittsburgh Taco Festival located?,,"The 2024 Pittsburgh Taco Festival is located at 2875 Railroad St, Pittsburgh, PA 15222."
Are pets allowed at the Pittsburgh Taco Festival?,,"No, pets are not allowed at the Pittsburgh Taco Festival. The website states: ""We love dogs and pets as much as you do! However, since food is being bought/sold/consumed by many different people, we ask that you leave your four-footed loved ones at home."""
What is Picklesburgh?,the destination for all things pickled!,"Picklesburgh is a food festival celebrating all things pickled, featuring handcrafted food and artisan drinks with pickled ingredients from local chefs and restaurants, plus pickle-themed snacks, merchandise, contests, and entertainment."
When is Picklesburgh 2025 scheduled?,"july 11 – sunday, july 13, 2025","Picklesburgh 2025 is scheduled for Friday, July 11 – Sunday, July 13, 2025, in Downtown Pittsburgh."
Is there an admission fee for Picklesburgh?,admission is always free,"No, admission to Picklesburgh is free – no tickets are necessary."
What can visitors expect to find at Picklesburgh?,book accommodations outside of downtown and utilize public transportation,"Visitors to Picklesburgh can expect handcrafted food and artisan drinks featuring pickled ingredients from local chefs and restaurants, pickle-themed snacks and merchandise, contests, and entertainment."
What age restrictions exist for alcohol at Picklesburgh?,21 +,"Visitors must be 21+ to consume or purchase alcohol at Picklesburgh, and proper ID will be required."
What award has Picklesburgh won?,fourth,Picklesburgh has been voted the Best Specialty Food Festival in the Country four times by the readers of USA Today.
When was the Frick Pittsburgh founded?,,The Frick Pittsburgh's founding date is not explicitly stated in the provided text.
What museums are part of the Frick Pittsburgh?,,"The museums part of the Frick Pittsburgh include The Frick Art Museum, Clayton (the historic home), the Car and Carriage Museum, and possibly other educational facilities on the 10-acre campus."
What is Clayton at the Frick Pittsburgh?,,"Clayton at the Frick Pittsburgh is the historic home of the Frick family from 1882-1905, showing what life was like in 1892, a pivotal year for the nation, Pittsburgh, and the Frick family."
What is the Car and Carriage Museum at the Frick?,historic carriages and automobiles,"The Car and Carriage Museum at the Frick houses the Frick's collection of historic carriages and automobiles dating back to the turn of the 20th century, showing the transition from horse-drawn carriages to early automobiles."
What is currently on exhibition at the Frick Art Museum in 2025?,,"In 2025, the Frick Art Museum is exhibiting ""Kara Walker: Harper's Pictorial History of the Civil War (Annotated)"" from March 1 through May 25, 2025."
Who is Kara Walker?,harper,"Kara Walker is an artist whose exhibition ""Harper's Pictorial History of the Civil War (Annotated)"" is being displayed at the Frick Art Museum."
What accessibility features does the Frick Pittsburgh offer?,,"The Frick Pittsburgh offers accessibility features including ADA compliant parking, wheelchair accessible buildings, wheelchairs for visitor use, accessible restrooms, power-assist doors, and accommodations for visitors with hearing impairments."
Are service animals allowed at the Frick Pittsburgh?,"service animals must be harnessed, leashed, or tethered","Yes, service animals are permitted in all public areas of the Frick Pittsburgh. However, comfort animals, therapy animals, companion animals, or emotional support animals are not allowed."
What is the Educational Improvement Tax Credit Program?,a pennsylvania tax credit for businesses who make a donation to an approved nonprofit organization,"The Educational Improvement Tax Credit Program (EITC) is a Pennsylvania tax credit for businesses who make a donation to an approved nonprofit organization, including the Frick Art Pittsburgh."
How does the EITC program benefit businesses that donate to the Frick?,,"Businesses making contributions to the Frick through EITC can receive tax credits equal to 75% of their contribution (up to $750,000 per year), or 90% if they agree to provide the same amount for two consecutive tax years."
What is the Frick Pittsburgh's land acknowledgement about?,"historic sites themselves, are exercises in preservation and reconciliation, engaged with past, present, and future","The Frick Pittsburgh's land acknowledgement recognizes that they occupy ancestral lands of the Haudenosaunee, Lenape, Osage, and Shawnee peoples, and acknowledges the cultural importance of land and the role of cultural institutions in collective memory formation, preservation and reconciliation."
What is COMBEE according to the event at the Frick?,,"COMBEE, according to the event at the Frick, is a book by Dr. Edda Fields-Black about Harriet Tubman, the Combahee River Raid and Black Freedom during the Civil War, exploring Tubman's role in the largest slave rebellion in US history that liberated 756 people."
Who is Dr. Edda Fields-Black?,judith parker bernhard,Dr. Edda Fields-Black is a Professor in the Department of History and the Director of the Dietrich College Humanities Center at Carnegie Mellon University who has written a book about Harriet Tubman and the Combahee River Raid.
What restaurants are dining partners with the Pittsburgh Symphony Orchestra?,,"Restaurant dining partners with the Pittsburgh Symphony Orchestra include Fl. 2 @ Fairmont Pittsburgh, Braddock's Rebellion, Vallozzi's, Sultan Doner Gyro, Space Bar, Redbeard's on Sixth, and Talia."
What is Fl.2 at Fairmont Pittsburgh?,the balance of vibrant and inviting elements designed to create the perfect dining experience,"Fl.2 at Fairmont Pittsburgh is the Official Hotel of the PSO, offering a balance of vibrant and inviting elements designed to create the perfect dining experience with a menu paying homage to tradition using house-made and locally sourced items."
What discount do PSO subscribers receive at Vallozzi's?,perks card,PSO subscribers receive a 15% discount on the food portion of their bill at Vallozzi's.
What types of films does the Pittsburgh Symphony Orchestra perform live scores for?,"toy story, coco, ratatouille, cars, and many more","The Pittsburgh Symphony Orchestra performs live scores for films including Star Wars, Pixar films, and Marvel movies as part of their film concert series."
What is PSO Disrupt?,violence from spreading,"PSO Disrupt is described as a new way to experience the symphony at Heinz Hall where attendees can ""wear what you want, clap when you want"" and have their senses ignited."
What is the Citizen You mobile app?,intuitive and easy - to - use,"The Citizen You mobile app is designed to foster civic engagement by gamifying everyday civic actions, bringing together citizens of all ages to compete in challenges and earn points for civic-minded activities including attending local council meetings, helping neighbors, and voting."
What is Made By Us?,"a national coalition that presents history in relevant, provocative and innovative ways","Made By Us is a national coalition launched by the Senator John Heinz History Center and leading civic and history organizations that presents history in relevant, provocative and innovative ways to help address societal issues in real-time."
What organizations are part of the Made By Us steering committee?,"leaders from eight iconic historical organizations, including the heinz history center, smithsonian ’ s national museum of american history, national archives, thomas jefferson ’ s monticello, new - york historical society, atlanta history center, historymiami, and missouri historical society","The Made By Us steering committee includes leaders from the Heinz History Center, Smithsonian's National Museum of American History, National Archives, Thomas Jefferson's Monticello, New-York Historical Society, Atlanta History Center, HistoryMiami, and Missouri Historical Society."
What is the America 101 initiative?,empowers citizens to know and act on the promise of the country ’ s founders,"The America 101 initiative is the History Center's commitment to telling the American story and inspiring citizens to explore what it means to be American, empowering people to know and act on the promise of the country's founders through public programs, exhibitions, and educational curriculum."
What is National History Day at the History Center?,national history day competition,National History Day at the History Center is a regional competition for students that is part of an award-winning program mentioned in the educational offerings.
What special offer does the History Center have for kids during February and March 2025?,programs and field trips,"During February and March 2025, kids aged 17 and under can visit the History Center and Fort Pitt Museum free of charge, thanks to UPMC and UPMC Health Plan."
When does Meadowcroft Rockshelter reopen in 2025?,,Meadowcroft Rockshelter reopens in May 2025.
What time period does the Eastern Woodland Indian Village at Meadowcroft represent?,16th century,The Eastern Woodland Indian Village at Meadowcroft represents the 16th century (or approximately 400 years ago).
What is the Trails to Trains exhibit?,transports visitors through time,"The Trails to Trains exhibit transports visitors through time, exploring the evolution of transportation in Southwestern Pennsylvania using five vehicles from the collection."
What Pittsburgh neighborhood is the Heinz History Center located in?,strip district,The Heinz History Center is located in Pittsburgh's historic Strip District.
How many floors of exhibits does the Heinz History Center have?,six,The Heinz History Center has six floors of exhibits to explore.
What iconic children's television set is on display at the History Center?,mister rogers ’ neighborhood,"The original set from ""Mister Rogers' Neighborhood"" is on display at the History Center in the Special Collections Gallery."
What is the oldest jeep in the world doing at the History Center?,bantam reconnaissance car,The world's oldest jeep is on display at the History Center as one of its iconic artifacts.
What Pittsburgh company is featured in a 150-year innovation exhibition?,,The Heinz company is featured in a 150-year innovation exhibition at the History Center.
What is the History Center membership program?,,"The History Center membership program offers exclusive member perks and unlimited admission to four dynamic museums: the Heinz History Center, Western Pennsylvania Sports Museum, Meadowcroft Rockshelter and Historic Village, and the Fort Pitt Museum."
What sports are featured in the Western Pennsylvania Sports Museum?,"one - of - a - kind sports artifacts and interactive exhibits that celebrate the rich tradition of sports in our region. when it comes to sports pride and sports history, no other region in the world is like western pennsylvania. when it comes to sports pride and sports history, no other region in the world compares. the western pennsylvania sports museum tells the stories of pittsburghers who became champions and champions who became pittsburghers. relive the iconic moments that made them great through hundreds of artifacts and more than 70 interactives in the two - floor museum located inside the history center. from boxing to baseball, from the sandlots to the professional leagues, your entire family will find something to cheer about. kids aged 17 and under receive free admission to the western pennsylvania sports museum this february and march, thanks to upmc and upmc health plan. tickets may be purchased in advance online or at the door. admission includes full access to the history center and sports museum. exhibits & events western pennsylvania sports museum get the inside scoop on featured exhibits and events at the museum. the history center museum shop is your one - stop shop for all things pittsburgh. in 2014, the history center opened the new museum conservation center, located directly behind the museum on penn avenue. the nine - story building houses the museum ’ s artifacts under one roof with smithsonian - quality storage. as pittsburgh ’ s “ people museum, ” the history center preserves and interprets the history of western pennsylvanians through six floors of interactive exhibitions that feature iconic artifacts like the tv set from “ mister rogers ’ neighborhood ” and the world ’ s oldest jeep. the western pennsylvania sports museum, located on the history center ’ s second and third floors, celebrates the unsurpassed sports legacy of the city of champions. from football to baseball and hockey to golf","The Western Pennsylvania Sports Museum features football, hockey, baseball (including Pirates history), basketball, and various other regional sports."
How many interactive activities are in the Sports Museum?,more than 70,The Western Pennsylvania Sports Museum has more than 70 interactive activities that celebrate the rich tradition of sports in the region.
What baseball teams are highlighted in the Negro League baseball section?,pittsburgh crawfords and the homestead grays,The Homestead Grays and the Pittsburgh Crawfords are highlighted in the Negro League baseball section.
How many Grammy awards has the Pittsburgh Symphony Orchestra won?,"numerous grammy awards and nominations, including the award for best orchestral performance in 2018","The Pittsburgh Symphony Orchestra has won 22 Grammy awards according to the mention of Vince Gill being a ""twenty-two-time GRAMMY winner."""
Who is the Principal Pops conductor of the Pittsburgh Symphony Orchestra?,manfred honeck,Byron Stripling is the Principal Pops conductor of the Pittsburgh Symphony Orchestra.
What instrument does Byron Stripling play?,trumpet,"Byron Stripling plays the trumpet, as he is described as a ""trumpet virtuoso."""
What are some places the Pittsburgh Symphony Orchestra has toured?,,"The Pittsburgh Symphony Orchestra has toured to venues including Carnegie Hall and Lincoln Center in New York, as well as major venues of Europe and leading festivals such as the BBC Proms, Salzburg Festival, Musikfest Berlin, Lucerne Festival, Rheingau Music Festival, Beethovenfest Bonn, and Grafenegg Festival."
Does the Pittsburgh Symphony Orchestra offer programs for children?,,"Yes, the Pittsburgh Symphony Orchestra offers programs for children including Fiddlesticks Family Concerts, which are Saturday morning concerts designed especially for families with children ages 3-8."
What is Side-by-Side with the Pittsburgh Symphony Orchestra?,,"Side-by-Side with the Pittsburgh Symphony Orchestra is an immersive experience for high school musicians to rehearse and perform side-by-side with their PSO counterparts, including a full concert experience on the Heinz Hall stage."
What hotel is the official hotel of the Pittsburgh Symphony Orchestra?,fairmont pittsburgh,Fairmont Pittsburgh is the official hotel of the Pittsburgh Symphony Orchestra.
Who is the transportation service for the Pittsburgh Symphony Orchestra?,,Elite Coach Transportation is the official transportation service for the Pittsburgh Symphony Orchestra.
What special concert series features iconic films with live orchestra?,pso ' s special concerts,"The Movies series features iconic films on the big screen with original scores performed live by the Pittsburgh Symphony Orchestra, including Star Wars, Pixar movies, and Marvel films."
Where can Pittsburgh Symphony Orchestra recordings be purchased?,"where can pittsburgh symphony orchestra recordings be purchased? you have exceeded the time limit and your seats have been released. february 18, 2025 february 12, 2025 february 25, 2025 february 11, 2025 october 22, 2024 september 9, 2024 april 24, 2024 april 3, 2024 march 12, 2024 pittsburgh symphony orchestra release of bruckner : symphony no. 7 – bates : resurrexit reference recordings june 18, 2024 review : one afternoon, two spectacular orchestras the new york times a concert worthy of its music the new criterion pso cultural ambassadors triumphant return to new york city pittsburgh post - gazette the pittsburgh symphony sets a new standard for the standards the new york times read more → view the season → view the season → images of pittsburgh symphony orchestra concerts are available to the media",Pittsburgh Symphony Orchestra recordings can be purchased at the online store mentioned in the FAQ section.
What is the Frick Societies program?,philanthropic gift that supports our mission and connects you with like - minded art and cultural enthusiasts,"The Frick Societies program consists of members who serve as champions of arts and culture with philanthropic support for exhibitions, programming, and the care and growth of the Frick's diverse collections."
What types of planned giving can donors provide to the Frick?,,"Donors can provide planned giving to the Frick through appreciated stock, matching gifts from employers, qualified charitable distributions from Individual Retirement Accounts (IRAs), and other gift planning opportunities."
What educational programs does the Frick offer for families?,"family fun days - - this series offers a variety of activities for families to enjoy, such as lawn games, collaborative projects and take - home artwork. previous programs have included the following themes : second saturday studios","The Frick offers educational programs for families including Family Fun Days, Second Saturday Studios, and various educational activities throughout their museums."
What is Second Saturday Studios at the Frick?,,"Second Saturday Studios is a family-friendly arts program at the Frick that encourages children and their families to make art together, exploring different and unusual materials or finding fresh new ways to use familiar paper, paint and pencils."
What is Family Fun Day at the Frick?,"this series offers a variety of activities for families to enjoy, such as lawn games, collaborative projects and take - home artwork","Family Fun Day at the Frick offers a variety of activities for families to enjoy, such as lawn games, collaborative projects and take-home artwork with various themes."
