question,output,correct_answer
What is featured in the Duquesne SoundWalk at the Frick?,"The sounds of Frick past come to life through soundscapes, adding a new layer of dimensionality",The sounds of Frick past through soundscapes created by students
What previous exhibition focused on Shakespeare's First Folio?,From Stage to Page: 400 Years of Shakespeare in Print,From Stage to Page: 400 Years of Shakespeare in Print
"What dates was the ""Pittsburgh's Hill District during the Great Migration"" exhibition on display?","March 13–19 by CP Staff Tags: This Week's Top Events, Carnegie Museum of Art, Andy Warhol Museum","May 6, 2023 - February 4, 2024"
What theme was explored in the Romare Bearden exhibition?,"social conscience and action. Layered with themes from literature and religion, Bearden created narratives that reflect both the nostalgic rural North Carolina of his childhood and the vibrant urban life of places like Pittsburgh and Harlem.",Social conscience and action
What areas influenced Romare Bearden's artistic narratives?,Pittsburgh neighborhoods like the Hill District became a haven for Black communities to thrive during the Great Migration,Both the nostalgic rural North Carolina of his childhood and the vibrant urban life of places like Pittsburgh and Harlem
How many days are the guided tours of Clayton offered?,six weeks in advance. Email us now If you plan to visit the Frick as a self-guided group,Tuesday through Sunday
What time do Clayton tours begin and end?,"10 minutes to begin the tour, and travel through time at the Car and Carriage Museum",10:15 a.m. through 3:00 p.m.
What is included in Family Membership benefits at The Frick?,"FREE admission to more than 1,000 museums through North American Reciprocal Museums","Free admission to The Frick Art Museum, Car and Carriage Museum, and 10% discount at the Museum Store"
At what membership level do members receive reciprocal museum benefits?,North American Reciprocal Museum (NARM) Association,Fellow level ($125) and above
How many museums can members access through the reciprocal programs?,"Combined annual giving of $1,000 or more will entitle you to become a member of this leadership group as well as provide vital ongoing philanthropic support for exhibitions, programming, and the care and growth of the Frick’s diverse collections",More than 800 museums
What three museum networks are included in the reciprocal membership benefits?,Art Museum Reciprocal Network (AMRN),"North American Reciprocal Museums (NARM), Reciprocal Organizations of Associated Museums (ROAM), and Art Museum Reciprocal Network (AMRN)"
What special phone line is available for members to call?,"Center for Hearing + Deaf Services, Inc.",The Members Hotline
What is the address of The Frick Pittsburgh?,"2Pittsburgh, PA 15222","7227 Reynolds Street, Pittsburgh, PA 15208"
How far is The Frick Pittsburgh from downtown?,"67, 69, and 71C*",Approximately 20 minutes east of downtown Pittsburgh
What public transportation options are available to reach The Frick?,"Amtrak, the nation’s publicly funded railroad service, provides intercity passenger rail service",Pittsburgh Regional Transit buses
Which PRT buses provide service to The Frick Pittsburgh?,"67, 69, and 71C*","67, 69, and 71C"
Where is the entrance to The Frick Pittsburgh located?,Virtual Museum Exhibitions Now On View Kara Walker,The entrance is located on Reynolds Street
What free parking option is available at The Frick?,parking in select garages is now only $3,Free parking in the museum's lot
What is the original name of Clayton before the Frick family purchased it?,"Peter Paul Rubens, whose Portrait of Charlotte-Marguerite de Montmorency, Princess of Condé",An Italianate-style home
In what year did Henry Clay Frick purchase Clayton?,1890 painting Woman with a Horse and Carriage,1882
What is the purpose of The Frick Societies?,To preserve and expand the resources of art and science as agents of personal growth and social advancement,To influence the future of the Frick and help maintain it as a cultural institution of the highest caliber
What society is named after the renowned seventeenth-century Flemish Baroque painter?,Royal Society of Flemish Baroque,The Rubens Society
What painting by Rubens is part of the Frick's collection?,Woman with a Horse and Carriage,"Portrait of Charlotte-Marguerite de Montmorency, Princess of Condé (ca. 1610)"
What society honors the legacy of the Frick's founder?,"The Frick Societies, you are making a philanthropic gift that supports our mission",The Helen Clay Frick Society
What is the minimum combined annual gift amount to join The Frick Societies?,"$1,000-$2499. Corporate Curators Society ($2,500–$4,999)","$1,000 or more"
What educational programs does The Frick offer for K-12 students?,hands-on learning programs for students K-12,"Hands-on learning programs that address academic standards and use art, history, and nature"
What teacher benefits does The Frick offer?,a variety of opportunities to support education programs for all ages,Teacher workshops that offer Act 48 activity hours with classroom-ready suggestions
What summer program does The Frick offer for children?,Family Fun Days -- This series offers a variety of activities for families to enjoy,"Art, History, Nature summer camp with art making and explorations throughout the Frick's museums"
What is offered at The Frick Museum Store?,Explore our museums for world-class permanent and temporary exhibitions Learn more,A unique and carefully curated selection of gifts reflecting the distinctive character of the Frick
Where is The Frick Museum Store located?,Located in the Grable Visitor Center,In the Grable Visitor Center
What financial support option involves donating stock to The Frick?,Contact Us! Enter your Username and Password to login to your account,Donating appreciated stocks or mutual funds to the Frick
What are the tax benefits of donating appreciated stock to The Frick?,It offers significant tax benefits without affecting your cash flow.,It offers significant tax benefits without affecting cash flow and can offset anticipated capital gains tax
How can someone include The Frick in their estate plans?,"To make the process of legacy giving easy, The Frick has partnered with FreeWill for our community",By remembering the Frick in their will or estate plans
What partnership has The Frick established to make legacy giving easier?,FreeWill for our community to create an estate plan for free,The Frick has partnered with FreeWill for community members to create an estate plan for free
What is the minimum group size for group tours of Clayton?,six weeks in advance. Email us now If you plan to visit the Frick as a self-guided group,11 people
How far in advance must group tour requests be made?,at least six weeks in advance. Email us now If you plan to visit the Frick as a self-guided group,At least six weeks in advance
What is the cost per person for a group tour of Clayton?,".40 Amusement Tax. 2. If a total bill exceeds the cover charge, the total charge is taxable",$20 per person
What is the maximum group size for Car and Carriage Museum tours?,"11 to 30, Tuesday through Friday. COST: $20 per person",Maximum group size of 20 for Car and Carriage Museum tours
What program brings the sights and sounds of Frick history to life?,"Learn More Art, History, Nature Explore, imagine and create in Pittsburgh’s best backyard",Duquesne SoundWalk at the Frick
What university collaborated on the Duquesne SoundWalk project?,University's Mary Pappert School of Music,Duquesne University's Mary Pappert School of Music
What day was selected for the free admission day sponsored by Highmark Blue Cross Blue Shield?,"Thursday, February 10, 2022 Watch the February 10 meeting here.","Wednesday, April 2, 2025"
Who is the museum's Marketing & Communications Manager?,"Dalena Collins, Interim Manager of Museum Experience and Admissions",Kristin Garbarino
What notable building preservation is mentioned in the history of Pittsburgh?,Pittsburgh’s strategic location and wealth of natural resources spurred its commercial and industrial growth,"The Old Allegheny County Jail, as seen in the film ""Mrs. Soffel,"" completed in 1886"
Who is Dr. Kahren Jones Arbitman and what is her connection to The Frick?,"The Frick Pittsburgh | & Chief Examiner – 32G — 107,490 Senior HR Manager",Former curator-in-charge of The Frick Art Museum who went on to become director of other museums
What historical significance does Fallingwater have near Pittsburgh?,"Historic Village, a National Historic Landmark",It is one of Frank Lloyd Wright's most iconic homes and can be visited as a daytrip from Pittsburgh
What special collection is housed at St. Anthony's Chapel in Pittsburgh?,Capacity: Seated – 98* *Additional/Standing Room Available,It houses the largest collection of Christian relics outside of the Vatican
How many covered bridges are there in Greene County?,"Over 2,000 bridges span the landscape of Allegheny County",Seven covered bridges
What historical figure has a museum dedicated to them in Indiana County?,Harrison Ford’s iconic character Indianapolis Colts,Jimmy Stewart (The Jimmy Stewart Museum)
What is Ohiopyle State Park known for?,No trip is complete without a stop at The Jimmy Stewart Museum,"White water rafting, camping, rock climbing, and outdoor adventures"
What is Meadowcroft Rockshelter's significance?,the oldest site of human habitation in North America,It is a National Historic Landmark and the oldest documented human settlement in North America
What is celebrated at the Pittsburgh Irish Festival?,"St. Patrick's Day Parade, Harp & Fiddle, Cork Harbour Pub, AOH Club, Monterey Pub","The festival features authentic Irish food, music, and crafts in September"
What is the Heinz History Center?,The Heinz History Center is Pittsburgh’s people museum,"The Heinz History Center is an educational institution that preserves and presents the American experience with a Western Pennsylvania connection, serving as Pittsburgh's people museum and the Smithsonian's home in Pittsburgh."
When is the Heinz History Center open?,Wednesday through Saturday and free for researchers. Shop,The Heinz History Center is open daily from 10 AM to 5 PM.
Where is the Heinz History Center located?,in Pittsburgh’s historic Strip District  2025,The Heinz History Center is located in Pittsburgh's historic Strip District.
What museums are part of the Heinz History Center family?,The Heinz History Center is Pittsburgh’s people museum,"The museums that are part of the Heinz History Center family include the Heinz History Center, Western Pennsylvania Sports Museum, Fort Pitt Museum, and Meadowcroft Rockshelter and Historic Village."
What is the Western Pennsylvania Sports Museum?,a state-of-the-art museum at the Senator John Heinz History Center,The Western Pennsylvania Sports Museum is a two-floor museum located inside the History Center that tells the stories of Pittsburgh's sports history and champions.
What is the Fort Pitt Museum?,An understanding of material culture and artifact handling and familiarity with cataloging a plus,"The Fort Pitt Museum is a two-floor, 12,000-square-foot museum located in Point State Park that tells the story of Western Pennsylvania's pivotal role during the French & Indian War, the American Revolution, and as the birthplace of Pittsburgh."
What is Meadowcroft Rockshelter and Historic Village?,Visit Meadowcroft Rockshelter and Historic Village,"Meadowcroft Rockshelter and Historic Village is a National Historic Landmark in Avella, Washington County, Pa., featuring a massive rock overhang used by prehistoric people and a series of interpretive villages showing rural life over 500 years."
How old is the Meadowcroft Rockshelter?,18th century log cabin and open-sided trading post,"The Meadowcroft Rockshelter is 19,000 years old and is the oldest site of human habitation in North America."
What can visitors see at the Western Pennsylvania Sports Museum?,a stunning collection of one-of-a-kind sports artifacts and interactive exhibits,"Visitors can see hundreds of artifacts and more than 70 interactive exhibits covering all regional sports from boxing to baseball, from sandlots to professional leagues in the Western Pennsylvania Sports Museum."
What can visitors discover at the Fort Pitt Museum?,the world-changing events that occurred right here in Pittsburgh for free,"Visitors can discover the pivotal role of the Pittsburgh region in the French & Indian War, American Revolution, and Early Republic through interactive exhibitions, life-like figures, and 18th-century artifacts."
What is America 101?,the largest history museum in the Commonwealth of Pennsylvania and a proud affiliate of the Smithsonian Institution,"America 101 is an initiative by the History Center that aims to empower citizens to know and act on the promise of the country's founders, enabling people to write the next chapter of democracy through educational programs and civic engagement."
What are some annual fundraising events for the History Center?,Preserve your memories and celebrate loved ones by purchasing a lasting gift inside the History Center,"Annual fundraising events for the History Center include the History Makers Award Dinner, History Uncorked, Bocce Tournament & Festival, and Celebrity Golf Tournament."
What is the History Makers Award Dinner?,"a tradition that celebrates exceptional individuals with connections to Western Pennsylvania, whose accomplishments transcend geographic bounds",The History Makers Award Dinner is a tradition that celebrates exceptional individuals with connections to Western Pennsylvania whose accomplishments transcend geographic bounds.
What is History Uncorked?,"an annual 21+ party that supports the History Center’s award-winning exhibitions, events, educational programs, and more","History Uncorked is an annual 21+ party that supports the History Center's award-winning exhibitions, events, educational programs, and more, described as ""Pittsburgh's party for young professionals."""
What is the Bocce Tournament & Festival?,10-day festival of motorsport events culminating with the Annual Vintage Races and Car Show at Schenley Park,"The Bocce Tournament & Festival is an event that supports the History Center's Italian American Program where participants can ""throw out the pallino and throw down for a worthy cause."""
What collection does the Bocce Tournament support?,The Miss Little Italy is a family-oriented festival pageant,The Bocce Tournament supports the History Center's Italian American Program.
What is one way visitors can sustain the legacy of the History Center?,Celebrate the ‘can do’ spirit and rich history of the Pittsburgh region,"Visitors can sustain the legacy of the History Center by purchasing a lasting gift inside the History Center, such as time capsules, personalized floor tiles, rocking chairs, and commemorative sports items."
Can employers match gifts to the History Center?,You can double or triple your gift if you or your spouse work for an organization that matches charitable contributions to the History Center,"Yes, employers can match gifts to the History Center. Donors can double or triple their gifts if they or their spouse work for an organization that matches charitable contributions."
What rating did the History Center earn from Charity Navigator?,Four-star rating from Charity Navigator for sound fiscal management,The History Center earned the coveted 4-star rating from Charity Navigator for sound fiscal management and commitment to accountability and transparency.
What kinds of planned giving options are available for the History Center?,"A wide variety of planned giving options, including charitable trusts and bequests","Planned giving options for the History Center include charitable trusts and bequests, which can provide tax benefits for donors and their benefactors."
What is the Detre Library & Archives?,"Founded in 1879, the Library & Archives preserves the rich history of Western Pennsylvania","The Detre Library & Archives is Western Pennsylvania's preeminent source for researching the region's rich history, preserving historic artifacts and archival materials."
When was the Detre Library & Archives founded?,"1879, the Library & Archives preserves the rich history of Western Pennsylvania",The Detre Library & Archives was founded in 1879.
What kinds of materials does the Library & Archives preserve?,"a similar item or copy, and its ownership history","The Library & Archives preserves books, manuscripts, photographs, maps, atlases, newspapers, films, recordings, and digital materials documenting life in Western Pennsylvania."
What are the hours for the Detre Library & Archives?,"Wednesday – Saturday, 10 a.m. to 5 pm",The Detre Library & Archives is open Wednesday through Saturday from 10 a.m. to 5 p.m.
Is there an admission fee to use the Detre Library & Archives?,not possible to use the Detre Library & Archives,"No, access to the Detre Library & Archives at the History Center is free for all visitors."
What digital resources does the Library & Archives offer?,"documents, photographs and published materials are available for research and reference","The Library & Archives offers digital resources including an online catalog, Historic Pittsburgh digital archive, Jewish Encyclopedia of Western Pennsylvania, finding aids, digital collection highlights, and Google Arts & Culture collections."
What is Historic Pittsburgh?,a city in western Pennsylvania at the junction of 3 rivers,"Historic Pittsburgh is a digital resource comprising primary and secondary sources about the greater Pittsburgh region, including publications, maps, manuscripts, visual images, and audio-video materials that support personal and scholarly research."
What is the Jewish Encyclopedia of Western Pennsylvania?,a descriptive record of Jewish history in Western Pennsylvania,"The Jewish Encyclopedia of Western Pennsylvania is a descriptive online record of Jewish history in Western Pennsylvania providing basic information about hundreds of Jewish people, families, congregations, organizations, charities, businesses, and events dating back to 1755."
What is the oldest continuously-published magazine in the region?,Western Pennsylvania History is the region’s oldest continuously-published magazine.,"Western Pennsylvania History is the region's oldest continuously-published magazine, in circulation since 1918."
What special programs does the History Center offer for children?,Invitations to events and programming designed just for teen members,"The History Center offers special programs for children including Discovery Place, the Neighborhood of Make-Believe, family-friendly exhibits and activities, and Fiddlesticks Family Concerts through the Pittsburgh Symphony."
What educational opportunities does the History Center provide?,activities and field trips for learners of all ages,"The History Center provides educational opportunities including field trips, virtual school programs, programs for preschoolers, badge days for Scouts, continuing education for teachers, and an award-winning National History Day program."
What scout programs are offered at the History Center?,"field trips, programs for preschoolers, badge days for Scouts","The History Center offers scout programs including badge-earning activities at the History Center, tours and adventure programs at the Fort Pitt Museum, and programs about archaeology, American Indian cultural traditions, and camping opportunities at Meadowcroft."
What types of field trips does the History Center offer?,guided and self-guided field trips for students,"The History Center offers multi-disciplinary museum field trips, guided and self-guided field trips at the Fort Pitt Museum, and hands-on educational programs at Meadowcroft that allow students to explore the history of life in the upper Ohio Valley."
What is the Making History blog?,"Made By Us, a national coalition that presents history in relevant, provocative and innovative ways","The Making History blog features posts on Western Pennsylvania history, content from the Library & Archives, curator collection spotlights, and more."
What is the Food & Fitness program?,Wellness - CityFit Wellness is an all-encompassing set of programs which aim to enhance employees' wellness and engagement around family health,The Food & Fitness program blends health and history to encourage visitors to learn more about wellness.
What is Women Forging the Way?,an initiative focused on elevating women’s history year round,"Women Forging the Way is an initiative focused on elevating women's history year-round, launched to commemorate the 100th anniversary of women gaining the right to vote in the U.S."
What is the GigaPan at Meadowcroft?,GigaPan at Meadowcroft Rockshelter and Historic Village,"The GigaPan at Meadowcroft is a series of interactive images that allows anyone to explore the Meadowcroft Rockshelter archaeological site from any computer by clicking, dragging, scrolling to zoom, or clicking on tear-drop markers to access additional multimedia content."
What is the African American Program at the Heinz History Center?,"dedicated to the preservation, dissemination, and interpretation of the life","The African American Program at the Heinz History Center is dedicated to the preservation, dissemination, and interpretation of the life, history, and culture of Africans and African Americans in Western Pennsylvania."
When was the African American Program established?,The African American Program at the Heinz History Center,The document does not specify exactly when the African American Program was established.
What is the purpose of the African American Advisory Council?,"collect historically and culturally significant materials written, owned, generated by, created, used and/or related to African American people","The African American Advisory Council serves as a volunteer group of scholars, educators, artists, executives, entrepreneurs, journalists, politicians, and retirees that works with History Center staff as a liaison to the African American community and supports programming, promotes collection development, and assists in the facilitation of various projects."
What is the Italian American Program?,dedicated to preserving and interpreting the history and culture of Italian Americans in Western Pennsylvania,"The Italian American Program is dedicated to preserving and interpreting the history and culture of Italian Americans in Western Pennsylvania through exhibitions, educational programs, publications, and community outreach."
When was the Italian American Program founded?,"1990, the Italian American Program is dedicated to preserving and interpreting the history and culture of Italian Americans",The Italian American Program was founded in 1990.
What is the Italian American Collection?,"one of the largest repositories of Italian American artifacts, photographs, oral histories, and archival materials","The Italian American Collection is one of the largest repositories of Italian American artifacts, photographs, oral histories, and archival materials in the United States, documenting the pivotal role Italian Americans play in shaping the region's political, economic, religious, and cultural landscapes."
What is the Italian American Bollettino?,an e-communication that reports on what's happening with the History Center’s Italian American Program.,"The Italian American Bollettino is an e-communication that reports on what's happening with the History Center's Italian American Program, informing subscribers about upcoming events and highlights from the Italian American Collection."
What is the Rauh Jewish History Program & Archives?,"collecting, preserves, and disseminates information about Jewish history","The Rauh Jewish History Program & Archives was founded to collect, preserve, and make accessible the documentary history of Jews and Jewish communities of Western Pennsylvania."
When was the Rauh Jewish History Program & Archives founded?,"From 1989 until 1999, the Archives was supported by the United Jewish Federation",The Rauh Jewish History Program & Archives was founded in 1988.
What types of materials does the Rauh Jewish Archives collect?,"preserves, and disseminates information about Jewish history in Western Pennsylvania","The Rauh Jewish Archives collects correspondence, diaries, memoirs, ledgers, minutes, scrapbooks, ephemera, audio tapes, photographs, and moving images documenting the lives of individuals and families and the histories of congregations, organizations, institutions, and businesses."
What accessibility features does the History Center provide?,Wheelchairs: A limited number of manual wheelchairs and baby strollers,"The History Center provides accessibility features including wheelchairs, sensory bags, assistive listening devices, sign language interpreters, and support staff admission."
Are service animals allowed at the History Center?,Dogs are the only animals recognized as service animals by federal and state law,"Yes, service animals are welcome at the Heinz History Center, Fort Pitt Museum, and Meadowcroft Rockshelter and Historic Village."
Are wheelchairs available at the History Center?,ALDs are available to borrow at no cost by leaving an ID,"Yes, a limited number of manual wheelchairs are available to visitors on a first come, first served basis located in the first floor coat room of the History Center."
What is the Museum Shop at the History Center?,The Kamin Science Center and associated SportsWorks offer interactive technology and science exhibits,"The Museum Shop at the History Center offers Pittsburgh-themed gifts ranging from Heinz 57 to ""Mister Rogers' Neighborhood"" merchandise, vintage sports items, and other one-of-a-kind items."
Is there a café at the History Center?,"The Carnegie Cafe is a space of simple, contemporary sophistication.","Yes, the Café at the History Center offers a wide array of grab-and-go items including fresh wraps, salads, sandwiches, and kid-friendly options from Common Plea Catering, open daily during museum hours."
What is the Heinz History Center's policy on acquiring collections?,"We do not provide appraisals, our team can suggest ways to locate certified appraisers.","The History Center actively seeks collections and archival materials related to the history of Western Pennsylvania and the experiences of its people, both past and present, with careful assessment by the Collections Committee."
How can someone donate materials to the History Center collection?,Requests to see artwork and objects should be made to the collections manager,"Someone can donate materials to the History Center collection by filling out a Collection Donation Form providing information about the materials and their connection to Western Pennsylvania, which is then assessed by the Collections Committee."
What criteria are used to assess potential donations to the collections?,Staff review each offer and compare it with what we already have in the collection,"The History Center assesses potential donations based on their historical or cultural significance to Western Pennsylvania, physical condition, whether the museum already owns similar items, and the ownership history of the items."
Does the History Center appraise materials for donors?,Yes. The donor is responsible for determining and documenting the value of a donation. Staff at the History Center cannot appraise materials,"No, the History Center cannot appraise materials. Staff can provide a list of certified appraisers, but the donor is responsible for determining and documenting the value of a donation."
Does the History Center accept long-term loans?,A portion of your membership purchase may be tax deductible,"No, materials are not accepted on long-term loan, nor can agreements be made to return materials to heirs. Occasionally, short-term loans for specific exhibits are accepted."
What is the History Center's privacy policy regarding donor information?,DISCLOSURE OF PERSONAL INFORMATION,"The History Center does not sell or rent any donor information to third parties. Periodically they trade donor lists with other similar non-profit organizations, but donors may opt out of these trades."
Does the History Center collect online survey information?,"Yes, the History Center may also collect aggregate statistics about our visitors, customers, sales, traffic patterns and related site information","Yes, the History Center collects information through voluntary online surveys to help better understand their audience, which in turn allows them to better meet visitor needs and interests."
What is the History Center's policy on children's information?,DISCLOSURE OF PERSONAL INFORMATION,The Heinz History Center does not solicit personal information from children. Visitors 18 years of age and under are required to obtain an adult's permission before submitting any personal information to the website.
How does the History Center use cookies on its website?,"to track usage patterns, trends and visitor behavior, as well as to record other information regarding your visit","The History Center uses cookies to track usage patterns, trends and visitor behavior, as well as to record other information regarding visitors' use of the website. The information collected from cookies is only used in aggregate form."
What is the History Center's Social Media Policy?,Provide our online community with a positive experience on our platforms,The History Center's Social Media Policy aims to provide a public forum for respectful discussion and dialogue while ensuring their social media channels maintain appropriate content standards.
What types of posts might the History Center remove from social media?,"commenting, or replying on one of our posts","The History Center might remove posts containing profanity or obscenity, threatening language, defamatory statements, spam or promotional content, copyright violations, personal attacks, or discriminatory language based on race, ethnicity, religion, gender, sexual orientation, age, or disability."
What is the Pittsburgh Symphony Orchestra?,"The Pittsburgh Symphony Orchestra promotes curiosity, skill-building, and knowledge about music through learning programs that address the needs and interests of PreK-12 learners","The Pittsburgh Symphony Orchestra is one of America's most distinguished orchestras, based in Pittsburgh at Heinz Hall, serving as cultural ambassadors for the city through performances locally and worldwide."
Who is the Music Director of the Pittsburgh Symphony Orchestra?,"Manfred Honeck, welcomed ten new musicians to the Orchestra",Manfred Honeck is the Music Director of the Pittsburgh Symphony Orchestra.
How long has Manfred Honeck been the Music Director of the Pittsburgh Symphony?,thirty years. How long has Manfred Honeck been the Music Director of the Pittsburgh Symphony,"Manfred Honeck has been the Music Director of the Pittsburgh Symphony Orchestra since 2008, currently in his 17th season (as of 2025)."
What is Manfred Honeck's background?,Professor of the Austrian Federal President of Musician,"Manfred Honeck is an Austrian conductor who completed his musical training at the University of Music in Vienna and has experience as a member of the viola section in the Vienna Philharmonic and Vienna State Opera Orchestra, which has influenced his work as a conductor."
What recordings has the Pittsburgh Symphony Orchestra produced?,Bates: Resurrexit Reference Recordings,"The Pittsburgh Symphony Orchestra has produced numerous recordings on the Reference Recordings label, featuring works by Beethoven, Brahms, Bruckner, Shostakovich, Strauss, Tchaikovsky and others, which have received many GRAMMY nominations and awards."
Who is the Assistant Conductor of the Pittsburgh Symphony Orchestra?,Moon Doh is Assistant Conductor of the Pittsburgh Symphony Orchestra,Moon Doh and Jacob Joyce are both listed as Associate Conductors of the Pittsburgh Symphony Orchestra.
What is PSO Go?,A new way to save for our local students and full time preK - 12 teachers,"PSO Go is a discounted ticket program for students and PreK-12th grade teachers that provides alerts for discounted rush tickets to available BNY Classics, Disrupt, or PNC Pops performances."
What discounts are available for students attending Pittsburgh Symphony performances?,discounts and special offers at downtown Pittsburgh Dining Partner venues,"Students can access discounted subscriptions, PSO Go program for rush tickets, and annual passes allowing access to multiple performances throughout the season."
"What is the ""Choose Your Own"" package for Pittsburgh Symphony tickets?",Your tickets have been mailed to subscribers with their season tickets,"The ""Choose Your Own"" package allows patrons to save 15% off single ticket prices when they choose 3 or more concerts from PNC Pops, Movies, or BNY Classics concerts."
What special benefits do Pittsburgh Symphony subscribers receive?,Enjoy access to Pittsburgh Symphony musicians and guest artists,"Pittsburgh Symphony subscribers receive benefits including savings up to 28% on concerts, ticket exchange flexibility, priority seating, personal customer service, guaranteed parking options, pre-sale opportunities for special concerts, and invitations to exclusive events."
What dining discounts do Pittsburgh Symphony subscribers get?,discounts and special offers at downtown Pittsburgh Dining Partner venues,Pittsburgh Symphony subscribers receive discounts and special offers at downtown Pittsburgh Dining Partner venues by presenting their Perks Card at participating establishments.
What is the Ostinato Club?,Pittsburgh Symphony's monthly giving program. Join the Beat,The Ostinato Club is the Pittsburgh Symphony's monthly giving program.
Where is Heinz Hall located?,the museum’s Mueller Center on the fifth floor,Heinz Hall is located in downtown Pittsburgh in the Cultural District at 600 Penn Avenue.
What security measures are in place at Heinz Hall?,Bags failing to meet these requirements must be checked at which time a search will be conducted,"Heinz Hall has implemented a ""free-flow"" scanning security system that allows patrons to walk through unimpeded without removing coats, bags, cell phones or keys, while still providing enhanced security."
What is the bag policy at Heinz Hall?,To enhance the safety of all guests entering PNC Park,"Heinz Hall reserves the right to search any bags entering the facility. Oversized bags must fit comfortably under a seat, and those failing to meet requirements must be checked or returned to vehicles."
Is there a dress code for Heinz Hall events?,"a group ticket purchase you receive discounted tickets, priority seats","No, there is no official dress code for events at Heinz Hall. Many patrons wear business attire, but casual attire is also acceptable."
What are the hours for the Heinz Hall Box Office?,Saturday 12 pm - 4 pm. Services charges apply to phone and Internet orders. Our doors open one hour prior to classical concerts,"The Heinz Hall Box Office hours are Monday - Friday, 9 am - 6 PM, Saturday 12 pm - 4 pm."
How early do the doors open before performances at Heinz Hall?,One hour prior to classical concerts and one hour preceding,The doors at Heinz Hall open one hour prior to classical concerts and one hour prior to all other performances.
What is the policy for latecomers at Heinz Hall?,You are encouraged to leave personal computers and iPads at home,"Latecomers to Heinz Hall performances will be seated at suitable intervals during the program, at the discretion of the conductor."
Are children welcome at all Heinz Hall performances?,"Children, approximately age six and over, are welcome at all performances with a purchased ticket",Children aged six and over are welcome at all performances with a purchased ticket. The Latecomer's Gallery and lobby video monitors are available for restless children.
Is there a rush ticket policy at the Pittsburgh Symphony?,You have exceeded the time limit and your seats have been released,"Beginning two hours prior to most BNY Mellon Grand Classics and PNC Pops performances, students and seniors (age 62+) may purchase discounted rush tickets, subject to availability and restricted to certain seating sections."
What is the Latecomer's Gallery at Heinz Hall?,Special Collections Gallery to see original set pieces and exclusive artifacts from “Mister Rogers’ Neighborhood.”,The Latecomer's Gallery is located behind the Main Floor at Heinz Hall and affords patrons who arrive after the beginning of a concert the opportunity to enjoy the performance until they can be seated.
Does Heinz Hall have accessible seating?,"Yes. With a group ticket purchase you receive discounted tickets, priority seats","Yes, Heinz Hall provides accessible seating and services for patrons with disabilities."
Is Heinz Hall a non-smoking facility?,"No, heinz Hall is a non-smoking building","Yes, Heinz Hall is a non-smoking building with a No Smoking Policy."
What is the Pittsburgh Taco Festival?,annual food festival aimed at celebrating (and eating) TACOS,The Pittsburgh Taco Festival is an annual food festival celebrating tacos and supporting Pittsburgh's Latin-American community.
When was the Pittsburgh Taco Festival founded?,2016 by Craig McCloud who sought to create an opportunity which benefitted food trucks/start-ups,The Pittsburgh Taco Festival was founded in 2016 by Craig McCloud.
When is the 2024 Pittsburgh Taco Festival scheduled?,"September, 14th, 202412:30pm - 7:00pm","The 2024 Pittsburgh Taco Festival is scheduled for September 14, 2024, from 12:30pm to 7:00pm."
Where is the 2024 Pittsburgh Taco Festival located?,The original Celebrating TACOS! SATURday September 14 12:30 11:30 Early Entry for Gold Ticket Holders. A portion of proceeds directly benefits the address Stay Tuned on Social Media for official announcements follow us,"The 2024 Pittsburgh Taco Festival is located at 2875 Railroad St, Pittsburgh, PA 15222."
Are pets allowed at the Pittsburgh Taco Festival?,Refunds will not be issued on any tickets for any reason,"No, pets are not allowed at the Pittsburgh Taco Festival. The website states: ""We love dogs and pets as much as you do! However, since food is being bought/sold/consumed by many different people, we ask that you leave your four-footed loved ones at home."""
What is Picklesburgh?,The destination for all-things-pickled!,"Picklesburgh is a food festival celebrating all things pickled, featuring handcrafted food and artisan drinks with pickled ingredients from local chefs and restaurants, plus pickle-themed snacks, merchandise, contests, and entertainment."
When is Picklesburgh 2025 scheduled?,"Friday, July 11 – Sunday, June 13, 2025","Picklesburgh 2025 is scheduled for Friday, July 11 – Sunday, July 13, 2025, in Downtown Pittsburgh."
Is there an admission fee for Picklesburgh?,no tickets are necessary! You must be 21+,"No, admission to Picklesburgh is free – no tickets are necessary."
What can visitors expect to find at Picklesburgh?,"Pickle-themed snacks and merchandise, fun contests, and entertainment","Visitors to Picklesburgh can expect handcrafted food and artisan drinks featuring pickled ingredients from local chefs and restaurants, pickle-themed snacks and merchandise, contests, and entertainment."
What age restrictions exist for alcohol at Picklesburgh?,21+ to consume/purchase alcohol and proper ID will be required,"Visitors must be 21+ to consume or purchase alcohol at Picklesburgh, and proper ID will be required."
What award has Picklesburgh won?,the Specialty Food Festival in the Country,Picklesburgh has been voted the Best Specialty Food Festival in the Country four times by the readers of USA Today.
When was the Frick Pittsburgh founded?,"The Frick Pittsburgh is a nonprofit organization based in Pittsburgh, Pennsylvania.",The Frick Pittsburgh's founding date is not explicitly stated in the provided text.
What museums are part of the Frick Pittsburgh?,Virtual Museum Exhibitions Now On View Kara Walker Join & Support,"The museums part of the Frick Pittsburgh include The Frick Art Museum, Clayton (the historic home), the Car and Carriage Museum, and possibly other educational facilities on the 10-acre campus."
